rep1	rep2	rep3
ENSMUSG00000025915	829.006930868093	814.590388269766	775.181023652325
ENSMUSG00000046334	23.6216357506512	13.9154731241878	20.6825246438721
ENSMUSG00000088916	0	0	0
ENSMUSG00000046101	263.212512650114	301.858724693921	226.680470096838
ENSMUSG00000098234	3069.68780778701	3187.71376644857	3046.94953053523
ENSMUSG00000093178	67.4903878590035	85.6336807642329	90.1758074472822
ENSMUSG00000099032	86.6126644190545	75.9998916782567	108.37642913389
ENSMUSG00000104025	0	0	0
ENSMUSG00000025916	5.62419898825029	3.21126302865873	4.13650492877441
ENSMUSG00000087199	0	0	0
ENSMUSG00000095780	0	0	0
ENSMUSG00000025917	8008.85935926842	7804.43958065028	7842.81334495629
ENSMUSG00000056763	3190.04566613557	3068.8970343882	3136.29803699676
ENSMUSG00000102356	0	0	1.65460197150977
ENSMUSG00000067851	4539.85342331564	4296.66993234539	4172.07887116187
ENSMUSG00000088153	0	2.14084201910582	3.30920394301953
ENSMUSG00000102556	2.24967959530012	0	1.65460197150977
ENSMUSG00000042501	24.7464755483013	38.5351563439048	45.5015542165186
ENSMUSG00000103810	5.62419898825029	2.14084201910582	8.27300985754883
ENSMUSG00000083422	0	1.07042100955291	1.65460197150977
ENSMUSG00000094979	0	0	0
ENSMUSG00000081417	0	0	0
ENSMUSG00000103448	0	0	1.65460197150977
ENSMUSG00000100212	2.24967959530012	0	0
ENSMUSG00000100648	23.6216357506512	46.0281034107752	33.0920394301953
ENSMUSG00000088585	0	0	0
ENSMUSG00000048960	1053.97489039811	1057.57595743828	1130.92044752692
ENSMUSG00000077318	0	0	0
ENSMUSG00000101827	0	0	0.827300985754883
ENSMUSG00000103494	6.74903878590035	6.42252605731747	2.48190295726465
ENSMUSG00000057715	478.056914001275	461.351455117305	489.762183566891
ENSMUSG00000103825	10.1235581788505	4.28168403821165	8.27300985754883
ENSMUSG00000099845	0	0	0
ENSMUSG00000103561	1.12483979765006	0	0
ENSMUSG00000101610	1.12483979765006	0	0.827300985754883
ENSMUSG00000093864	0	0	0
ENSMUSG00000098555	0	0	0
ENSMUSG00000097628	2.24967959530012	5.35210504776456	6.61840788603906
ENSMUSG00000098163	0	0	0
ENSMUSG00000097171	0	1.07042100955291	2.48190295726465
ENSMUSG00000101314	0	0	0
ENSMUSG00000016918	4675.95903883129	4559.9935006954	4504.65386743534
ENSMUSG00000025938	717.647790900738	762.139758801673	665.977293532681
ENSMUSG00000104518	0	0	0
ENSMUSG00000069620	24.7464755483013	25.6901042292699	23.9917285868916
ENSMUSG00000099498	2.24967959530012	5.35210504776456	4.9638059145293
ENSMUSG00000042414	3693.97389548279	3535.60059455327	3473.83683918475
ENSMUSG00000005886	4850.30920746705	4643.48633944053	4572.49254826724
ENSMUSG00000103506	8.99871838120047	11.774631105082	4.9638059145293
ENSMUSG00000103495	0	0	0
ENSMUSG00000099183	0	0	0
ENSMUSG00000102639	0	0	0
ENSMUSG00000104170	2.24967959530012	1.07042100955291	1.65460197150977
ENSMUSG00000087782	0	0	0
ENSMUSG00000103085	17.9974367624009	16.0563151432937	20.6825246438721
ENSMUSG00000102664	11.2483979765006	9.6337890859762	7.44570887179395
ENSMUSG00000101476	1.12483979765006	0	0
ENSMUSG00000101171	1.12483979765006	1.07042100955291	0
ENSMUSG00000025935	6823.27821254526	6747.93404422155	6452.94768888809
ENSMUSG00000025937	8740.00522774096	8769.959331267	8344.9850433095
ENSMUSG00000102982	148.478853289808	157.351888404278	152.223381378898
ENSMUSG00000067813	0	0	3.30920394301953
ENSMUSG00000077368	0	0	0
ENSMUSG00000097711	2.24967959530012	3.21126302865873	4.9638059145293
ENSMUSG00000102166	0	0	1.65460197150977
ENSMUSG00000089358	0	0	0
ENSMUSG00000104209	0	0	0
ENSMUSG00000025932	1509.53500844638	1563.8850949568	1524.71571674625
ENSMUSG00000095853	0	0	0
ENSMUSG00000102588	0	0	0
ENSMUSG00000054493	0	11.774631105082	16.5460197150977
ENSMUSG00000025930	431.938482297623	448.50640300267	411.168589920177
ENSMUSG00000103492	0	3.21126302865873	8.27300985754883
ENSMUSG00000081201	0	0	0
ENSMUSG00000082193	6.74903878590035	10.7042100955291	6.61840788603906
ENSMUSG00000032769	362.198414843319	327.548828923191	327.611190358934
ENSMUSG00000088159	0	0	0
ENSMUSG00000073737	148.478853289808	132.732205184561	153.050682364653
ENSMUSG00000092083	2.24967959530012	1.07042100955291	1.65460197150977
ENSMUSG00000102937	0	0	0
ENSMUSG00000104149	49.4929510966026	37.4647353343519	35.57394238746
ENSMUSG00000088829	0	0	0
ENSMUSG00000077377	0	0	0
ENSMUSG00000101652	3.37451939295018	0	1.65460197150977
ENSMUSG00000100814	0	0	0
ENSMUSG00000025925	7608.416391305	7488.66538283217	7264.52995591363
ENSMUSG00000104379	13.4980775718007	4.28168403821165	2.48190295726465
ENSMUSG00000032719	2.24967959530012	3.21126302865873	1.65460197150977
ENSMUSG00000088943	0	0	0
ENSMUSG00000100652	19.122276560051	14.9858941337408	9.92761182905859
ENSMUSG00000067795	7.87387858355041	3.21126302865873	4.9638059145293
ENSMUSG00000043716	59432.0355486385	58702.9585848912	60131.5448486079
ENSMUSG00000025921	402.692647558721	389.63324747726	378.076550489981
ENSMUSG00000104165	0	0	0
ENSMUSG00000100868	0	0	0
ENSMUSG00000025920	572.54345700388	582.309029196784	486.452979623871
ENSMUSG00000089982	0	0	0
ENSMUSG00000025939	1509.53500844638	1581.01183110965	1425.43959845566
ENSMUSG00000102457	0	1.07042100955291	1.65460197150977
ENSMUSG00000079658	3848.07694776085	3835.31847722808	3605.37769591978
ENSMUSG00000097744	14.6229173694508	11.774631105082	6.61840788603906
ENSMUSG00000100959	0	0	0
ENSMUSG00000025940	784.013338962091	755.717232744356	713.133449720709
ENSMUSG00000025779	29.2458347389015	11.774631105082	16.5460197150977
ENSMUSG00000100093	0	1.07042100955291	0
ENSMUSG00000091020	10.1235581788505	14.9858941337408	33.0920394301953
ENSMUSG00000101640	0	0	0
ENSMUSG00000104133	0	0	0
ENSMUSG00000042686	62.9910286684033	84.56325975468	67.0113798461455
ENSMUSG00000100110	0	0	0
ENSMUSG00000025777	12.3732377741506	8.56336807642329	10.7549128148135
ENSMUSG00000099899	0	0	0
ENSMUSG00000100272	0	0	0
ENSMUSG00000100398	14.6229173694508	16.0563151432937	15.7187187293428
ENSMUSG00000101589	55.1171500848529	57.8027345158572	47.9834571737832
ENSMUSG00000102048	3.37451939295018	1.07042100955291	4.13650492877441
ENSMUSG00000089534	0	0	0
ENSMUSG00000067780	6.74903878590035	5.35210504776456	13.2368157720781
ENSMUSG00000100053	0	0	0
ENSMUSG00000085125	1.12483979765006	3.21126302865873	3.30920394301953
ENSMUSG00000025776	110.234300169706	105.971679945738	107.549128148135
ENSMUSG00000099895	0	0	0
ENSMUSG00000100554	0	0	0
ENSMUSG00000099473	0	0	0
ENSMUSG00000099591	2.24967959530012	1.07042100955291	0.827300985754883
ENSMUSG00000109887	41.6190725130522	58.8731555254101	39.7104473162344
ENSMUSG00000102001	0	0	0
ENSMUSG00000101717	0	0	0
ENSMUSG00000025774	0	0	0
ENSMUSG00000070977	0	0	0
ENSMUSG00000073735	0	0	0
ENSMUSG00000067773	0	0	0
ENSMUSG00000101685	3.37451939295018	2.14084201910582	4.9638059145293
ENSMUSG00000101738	0	0	0
ENSMUSG00000101306	0	0	0
ENSMUSG00000088800	0	0	0
ENSMUSG00000101644	0	0	0
ENSMUSG00000099433	0	0	0
ENSMUSG00000089787	0	4.28168403821165	0.827300985754883
ENSMUSG00000042596	0	0	0.827300985754883
ENSMUSG00000100720	7.87387858355041	6.42252605731747	13.2368157720781
ENSMUSG00000025927	2.24967959530012	0	0
ENSMUSG00000100538	0	0	0
ENSMUSG00000101117	0	0	0
ENSMUSG00000100204	86.6126644190545	99.5491538884208	71.9751857606748
ENSMUSG00000084668	0	0	0
ENSMUSG00000102597	0	0	0
ENSMUSG00000043760	62.9910286684033	36.394314324799	72.8024867464297
ENSMUSG00000104095	51.7426306919027	61.013997544516	52.1199621025576
ENSMUSG00000089914	0	0	0
ENSMUSG00000090142	0	0	0
ENSMUSG00000070175	0	0	0
ENSMUSG00000065559	0	0	0
ENSMUSG00000099906	1.12483979765006	0	0.827300985754883
ENSMUSG00000065480	0	0	0
ENSMUSG00000025929	0	0	0
ENSMUSG00000041872	48.3681112989525	25.6901042292699	30.6101364729307
ENSMUSG00000041859	37958.8438114989	37805.1292153897	38494.3148671747
ENSMUSG00000099714	0	0	0
ENSMUSG00000102121	0	0	0
ENSMUSG00000088858	0	0	0
ENSMUSG00000097934	16.8725969647509	16.0563151432937	25.6463305584014
ENSMUSG00000025931	2312.67062396852	2179.37717544973	2117.06322254675
ENSMUSG00000077314	0	0	0
ENSMUSG00000100929	0	0	0
ENSMUSG00000041809	58.4916694778031	78.1407336973625	76.9389916752041
ENSMUSG00000041779	1192.33018550906	1149.63216425983	1230.19656581751
ENSMUSG00000099971	0	0	0
ENSMUSG00000100819	1.12483979765006	1.07042100955291	5.79110690028418
ENSMUSG00000025933	292.458347389015	314.703776808556	276.318529242131
ENSMUSG00000102633	10.1235581788505	17.1267361528466	14.8914177435879
ENSMUSG00000025934	359.948735248019	362.872722238437	395.449871190834
ENSMUSG00000099343	10.1235581788505	14.9858941337408	19.8552236581172
ENSMUSG00000096375	0	0	1.65460197150977
ENSMUSG00000025936	0	0	0
ENSMUSG00000093963	0	0	0
ENSMUSG00000067750	10.1235581788505	8.56336807642329	9.92761182905859
ENSMUSG00000086194	0	0	0
ENSMUSG00000094436	0	0	0
ENSMUSG00000041722	3.37451939295018	2.14084201910582	8.27300985754883
ENSMUSG00000085507	0	0	0.827300985754883
ENSMUSG00000094926	0	0	0
ENSMUSG00000085079	0	0	0
ENSMUSG00000085679	0	0	0
ENSMUSG00000028033	10.1235581788505	11.774631105082	17.3733207008525
ENSMUSG00000104138	0	2.14084201910582	3.30920394301953
ENSMUSG00000082935	374.57165261747	370.365669305307	379.731152461491
ENSMUSG00000103748	20.2471163577011	19.2675781719524	23.9917285868916
ENSMUSG00000097109	0	0	0.827300985754883
ENSMUSG00000099692	0	1.07042100955291	0
ENSMUSG00000100418	0	0	0
ENSMUSG00000041670	571.41861720623	611.210396454713	608.066224529839
ENSMUSG00000097642	0	0	0
ENSMUSG00000101468	0	0	0
ENSMUSG00000101227	1.12483979765006	0	0
ENSMUSG00000073730	0	0	0
ENSMUSG00000089553	0	0	0
ENSMUSG00000102766	0	0	0
ENSMUSG00000065405	0	0	0
ENSMUSG00000097970	11.2483979765006	9.6337890859762	16.5460197150977
ENSMUSG00000065567	0	0	0
ENSMUSG00000100775	6.74903878590035	6.42252605731747	4.9638059145293
ENSMUSG00000101226	0	0	0
ENSMUSG00000026158	356.574215855069	389.63324747726	386.34956034753
ENSMUSG00000097920	1.12483979765006	0	0
ENSMUSG00000099503	0	0	0
ENSMUSG00000026156	69.7400674543037	61.013997544516	82.7300985754883
ENSMUSG00000026155	1647.89030355734	1666.64551187388	1651.29276756675
ENSMUSG00000026154	461.184317036524	452.788087040882	439.296823435843
ENSMUSG00000102495	0	0	0
ENSMUSG00000026153	1961.7206071017	1979.20844666333	1811.78915880319
ENSMUSG00000102398	0	0	0
ENSMUSG00000097670	0	0	0
ENSMUSG00000026147	2.24967959530012	4.28168403821165	1.65460197150977
ENSMUSG00000026141	0	0	0
ENSMUSG00000077463	0	0	0
ENSMUSG00000099997	5.62419898825029	1.07042100955291	0
ENSMUSG00000100131	6.74903878590035	2.14084201910582	1.65460197150977
ENSMUSG00000067736	3.37451939295018	0	0
ENSMUSG00000101939	42.7439123107022	31.0422092770344	33.9193404159502
ENSMUSG00000101111	2.24967959530012	8.56336807642329	12.4095147863232
ENSMUSG00000100862	6.74903878590035	1.07042100955291	0.827300985754883
ENSMUSG00000102070	8.99871838120047	5.35210504776456	9.92761182905859
ENSMUSG00000101249	16.8725969647509	16.0563151432937	12.4095147863232
ENSMUSG00000073725	1165.33403036546	1063.99848349559	1063.08176669502
ENSMUSG00000100808	0	0	0
ENSMUSG00000100483	0	0	3.30920394301953
ENSMUSG00000100450	0	0	0
ENSMUSG00000099392	0	0	0
ENSMUSG00000033569	44.9935919060024	48.168945429881	51.2926611168027
ENSMUSG00000080849	0	0	0
ENSMUSG00000104257	2.24967959530012	2.14084201910582	0.827300985754883
ENSMUSG00000096866	0	0	0
ENSMUSG00000102296	0	0	0
ENSMUSG00000103209	0	0	0
