baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000187634__ENSMUSG00000096351	36.3062016040511	3.69220902547634	0.558542946013168	6.61042996215602	3.83205384804791e-11	7.5497674947919e-11
ENSG00000188976__ENSMUSG00000095567	11320.6474582461	-1.32518107198941	0.103734993255875	-12.7746773812448	2.27087342170393e-37	8.35373379837151e-37
ENSG00000187961__ENSMUSG00000078485	791.289115675006	0.20848612443869	0.112457370667693	1.85391249324829	0.0637516802485371	0.0796688350030405
ENSG00000187642__ENSMUSG00000078486	16.8147820929601	-1.60668673084835	0.778087327136378	-2.0649182615035	0.0389307349086792	0.0496725977018672
ENSG00000187608__ENSMUSG00000035692	218.027475136062	6.71212814496017	0.420436304520087	15.9646730617657	2.25218717126726e-57	1.12819843345724e-56
ENSG00000188157__ENSMUSG00000041936	16112.5688409354	-0.660529905706031	0.0474116156655863	-13.9318159997968	4.05902053783301e-44	1.67091913895344e-43
ENSG00000237330__ENSMUSG00000110404	4.72144193853084	-3.87661900829475	1.84113155914502	-2.10556328201498	0.0352423049544903	0.045133925895336
ENSG00000131591__ENSMUSG00000059939	1631.82643079471	-1.54423897506915	0.0892016836621322	-17.3117693710608	3.83448296568223e-67	2.16546692180331e-66
ENSG00000162571__ENSMUSG00000029074	10.0192914288464	0.708582563576957	0.824763234020939	0.85913451806336	0.39026630526744	0.438322023123002
ENSG00000186891__ENSMUSG00000041954	29.7775297015317	-2.05546078097441	0.684914227905213	-3.00104844844729	0.00269051753552571	0.00375407637756838
ENSG00000186827__ENSMUSG00000029075	20.8610658143172	-3.07761569251416	0.866699725214577	-3.55095958032316	0.000383829358808889	0.000567399921717487
ENSG00000078808__ENSMUSG00000029076	5566.86940687934	-0.757548812087178	0.0757434272703465	-10.001512202284	1.50087410744559e-23	4.09643997814715e-23
ENSG00000176022__ENSMUSG00000050796	1121.14943242417	1.75719766897268	0.102754227838894	17.1009768252821	1.4593763717234e-65	8.06662875289272e-65
