hESC_rep1	hESC_rep2	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000187634__ENSMUSG00000096351	83.6793495238466	79.2314771580529	5.43512018529032	5.17574644691332	8.00931470615249
ENSG00000188976__ENSMUSG00000095567	6687.91108886743	5203.261186499	14972.6690864378	14729.1392386259	15010.2566908004
ENSG00000187961__ENSMUSG00000078485	896.564459184071	824.243874315864	714.174792347148	777.397116326381	744.065336201566
ENSG00000187642__ENSMUSG00000078486	10.1150862061793	4.73023744227182	30.4366730376258	22.7732843664186	16.018629412305
ENSG00000187608__ENSMUSG00000035692	502.07609714308	572.35873051489	6.52214422234839	5.17574644691332	4.00465735307624
ENSG00000188157__ENSMUSG00000041936	11861.3179066824	12039.6368499423	18455.4941011718	19045.7117753516	19160.6835715286
ENSG00000237330__ENSMUSG00000110404	0.919553291470842	0	10.8702403705806	6.21089573629599	5.60652029430674
ENSG00000131591__ENSMUSG00000059939	754.953252297561	763.933346926898	2120.78389630028	2207.97343425322	2311.48822419561
ENSG00000162571__ENSMUSG00000029074	11.9541927891209	14.1907123268155	8.69619229646452	7.24604502567865	8.00931470615249
ENSG00000186891__ENSMUSG00000041954	16.5519592464752	3.54767808170386	42.3939374452645	45.5465687328372	40.8475050013777
ENSG00000186827__ENSMUSG00000029075	0.919553291470842	7.09535616340773	26.0885768893935	34.1599265496279	36.0419161776862
ENSG00000078808__ENSMUSG00000029076	4195.00211568998	3673.02937392407	6653.67413083241	6695.34560372707	6617.29581022318
ENSG00000176022__ENSMUSG00000050796	2041.40830706527	1841.2449244043	558.730355047845	579.683602054292	584.679973549131
ENSG00000184163__ENSMUSG00000023571	47.8167711564838	43.7546963410143	290.235417894503	276.384860265171	261.103659420571
ENSG00000160087__ENSMUSG00000023286	3409.70360477388	2660.7585612779	2963.22752502028	3136.50234682947	3138.04950187054
ENSG00000131584__ENSMUSG00000029033	2258.42288385239	2006.80323488382	1223.98906572738	1175.92959273871	1235.03632768871
ENSG00000169972__ENSMUSG00000051557	860.701880816708	754.472872042355	1143.54928698508	1208.01922070957	1129.3133735675
ENSG00000127054__ENSMUSG00000029034	4670.41116738041	3992.32040127741	2820.82737616568	2889.10166666702	2935.41383980489
ENSG00000224051__ENSMUSG00000029073	775.18342470992	664.59836063919	525.032609899045	505.15285321874	480.558882369149
ENSG00000169962__ENSMUSG00000029072	29.425705327067	24.833746571927	4.34809614823226	5.17574644691332	12.0139720592287
ENSG00000107404__ENSMUSG00000029071	3441.88796997536	2883.07972106467	1339.21361365554	1316.70989609475	1291.10153063178
ENSG00000162576__ENSMUSG00000029070	2180.26085407737	2284.70468461729	171.749797855174	116.971869700241	119.338789121672
ENSG00000175756__ENSMUSG00000065990	3754.53608907545	3077.01945619782	3373.03558699117	3618.88191568179	3533.70964835448
ENSG00000221978__ENSMUSG00000029068	6428.59706067266	5107.47387829299	6246.04011693564	6278.18044010586	6354.59028786138
ENSG00000242485__ENSMUSG00000029066	2857.97162989138	2270.51397229047	3134.97732287546	3040.23346291689	3197.31843069607
ENSG00000235098__ENSMUSG00000078487	52.414537613838	49.6674931438541	11.9572644076387	6.21089573629599	8.00931470615249
ENSG00000205116__ENSMUSG00000073680	45.9776645735421	29.5639840141989	17.392384592929	16.5623886301226	12.0139720592287
ENSG00000179403__ENSMUSG00000042116	1680.9434168087	1330.37928063895	17.392384592929	6.21089573629599	13.6158350004592
ENSG00000197785__ENSMUSG00000029036	2872.68448255491	2049.37537186426	5727.52965125894	5588.77101337701	5794.73918990132
ENSG00000205090__ENSMUSG00000084845	132.415673971801	170.288547921785	7.60916825940645	4.14059715753066	6.40745176492199
ENSG00000160075__ENSMUSG00000029038	5950.42934910782	5248.19844220058	4680.72550357202	4700.61292308668	4805.58882369149
ENSG00000228594__ENSMUSG00000074738	434.029153574238	559.350577548642	707.6526481248	713.217860384656	810.542648262632
ENSG00000197530__ENSMUSG00000029060	1356.34110491949	1171.91632632284	2705.60282823752	2810.43032067393	2746.39401273969
ENSG00000189409__ENSMUSG00000029061	48.7363244479546	66.2233241918054	86.9619229646451	81.7767938612305	69.6810379435266
ENSG00000248333__ENSMUSG00000029062	1700.25403592959	1445.08753861404	8432.04545545941	8635.21537203019	8402.57205822457
ENSG00000189339__ENSMUSG00000042202	5910.88855757457	5926.98751516659	2007.73339644624	1994.73268064039	1919.03180359414
ENSG00000008128__ENSMUSG00000029062	122.300587765622	94.6047488454363	8432.04545545941	8635.21537203019	8402.57205822457
ENSG00000008130__ENSMUSG00000029063	3440.96841668389	3163.34628951928	8004.84500889559	7977.89557327219	7989.2914193871
ENSG00000078369__ENSMUSG00000029064	23833.9017616328	24396.1996085169	23361.2335804149	22797.0928000744	23079.641257249
ENSG00000178821__ENSMUSG00000023153	297.015713145082	326.386383516755	2.17404807411613	6.21089573629599	3.20372588246099
ENSG00000142609__ENSMUSG00000078490	22.9888322867711	22.4686278507911	226.100999708077	202.889260719002	218.654291477963
ENSG00000187730__ENSMUSG00000029054	57.0123040711922	53.2151712255579	3.26107211117419	6.21089573629599	4.80558882369149
ENSG00000067606__ENSMUSG00000029053	1102.54439647354	889.284639147102	1793.58966114581	1800.12461423645	1844.54517682692
ENSG00000157933__ENSMUSG00000029050	6498.48311082444	6097.27606308837	6287.34703034384	6617.70940702337	6566.03619610381
ENSG00000116151__ENSMUSG00000029049	191.267084625935	170.288547921785	204.360518966916	171.834782037522	172.200266182278
ENSG00000157916__ENSMUSG00000029048	2972.91579132523	2406.50829875579	5061.18391654235	4779.28426907976	4775.15342780811
