index	gene_name	mean_tpm
ENSG00000198914	POU3F3	563.4666510957975
ENSG00000125618	PAX8	1833.685822897935
ENSG00000184492	FOXD4L1	2.2479552845365096
ENSG00000163064	EN1	30.9776831186418
ENSG00000074047	GLI2	3736.2409134514746
ENSG00000115112	TFCP2L1	154.3989806840715
ENSG00000169554	ZEB2	3113.1639277265203
ENSG00000153234	NR4A2	143.76577928542548
ENSG00000136535	TBR1	5.479036343080105
ENSG00000204335	SP5	2774.60568924354
ENSG00000144355	DLX1	138.3578782024315
ENSG00000115844	DLX2	110.33099105772129
ENSG00000172845	SP3	7847.7979443818
ENSG00000217236	SP9	34.8181765050434
ENSG00000115966	ATF2	3415.6999595615252
ENSG00000174279	EVX2	2.2479552845365096
ENSG00000128714	HOXD13	11.16864116259672
ENSG00000170178	HOXD12	0.0
ENSG00000128713	HOXD11	5.268467866643625
ENSG00000128710	HOXD10	10.51322397992528
ENSG00000128709	HOXD9	41.30405037549255
ENSG00000175879	HOXD8	18.2639273609039
ENSG00000128652	HOXD3	18.2402156075419
ENSG00000170166	HOXD4	11.21606466932061
ENSG00000128645	HOXD1	11.754341737092766
ENSG00000116044	NFE2L2	2044.59112783089
ENSG00000162992	NEUROD1	5.713316572878535
ENSG00000115415	STAT1	4730.865469187194
ENSG00000138378	STAT4	31.51596018641395
ENSG00000119042	SATB2	798.6479275219835
ENSG00000138380	CARF	433.54813044463447
ENSG00000118263	KLF7	2081.29449006049
ENSG00000118260	CREB1	4575.996509391615
ENSG00000030419	IKZF2	359.067283824598
ENSG00000163497	FEV	2.66909223740947
ENSG00000135903	PAX3	611.1072115620145
ENSG00000221944	TIGD1	328.45905819637346
ENSG00000168505	GBX2	3002.4022744816702
ENSG00000144485	HES6	1453.6083042781797
ENSG00000233608	TWIST2	68.27809513802015
ENSG00000134107	BHLHE40	266.6933859859855
ENSG00000132170	PPARG	14.330005612965001
ENSG00000177463	NR2C2	3326.9867916457897
ENSG00000182568	SATB1	2257.194559100765
ENSG00000151789	ZNF385D	244.35752231270249
ENSG00000174738	NR1D2	2116.10739728701
ENSG00000151090	THRB	169.54612979750948
ENSG00000077092	RARB	113.8911993595112
ENSG00000163508	EOMES	2150.497343579625
ENSG00000197385	ZNF860	202.746637795415
ENSG00000153560	UBP1	6055.148654641935
ENSG00000177873	ZNF619	163.224819548684
ENSG00000177842	ZNF620	1110.0870134184452
ENSG00000172888	ZNF621	1443.8927680011
ENSG00000182983	ZNF662	7.282142921381711
ENSG00000185219	ZNF445	2848.1257031910245
ENSG00000178917	ZNF852	377.8666509494525
ENSG00000196345	ZKSCAN7	720.3308434712769
ENSG00000144792	ZNF660	1066.770706640125
ENSG00000186448	ZNF197	1862.3075305222796
ENSG00000169981	ZNF35	1038.8329919012172
ENSG00000196653	ZNF502	550.2184688969015
ENSG00000186446	ZNF501	424.55772795839897
ENSG00000012223	LTF	0.0
ENSG00000164048	ZNF589	5679.442205223126
ENSG00000163666	HESX1	262.519509400606
ENSG00000153266	FEZF2	39.50094379719095
ENSG00000187098	MITF	54.08752274140575
ENSG00000114861	FOXP1	1694.63564256316
ENSG00000064835	POU1F1	2.01367505473808
ENSG00000066422	ZBTB11	1382.55775797784
ENSG00000114439	BBX	4325.45082744512
ENSG00000181722	ZBTB20	136.62732553612625
ENSG00000144852	NR1I2	4.91704752194598
ENSG00000186103	ARGFX	0.0
ENSG00000163848	ZNF148	2291.2454475867653
ENSG00000163884	KLF15	696.608754216834
ENSG00000179348	GATA2	55.7972009581701
ENSG00000168875	SOX14	30.439406050869653
ENSG00000183770	FOXL2	67.6449710568001
ENSG00000114126	TFDP2	5331.7326485943395
ENSG00000174963	ZIC4	159.34257726319998
ENSG00000152977	ZIC1	909.7366813644961
ENSG00000168779	SHOX2	62.518773710328254
ENSG00000085276	MECOM	416.734470665424
ENSG00000085274	MYNN	1050.827288475755
ENSG00000181449	SOX2	15739.38967324205
ENSG00000244405	ETV5	3904.39879102223
ENSG00000113916	BCL6	273.720374228028
ENSG00000073282	TP63	25.3117900524871
