hg19_id	minimal_biotype_hg19	index
h.1407	eRNA	28
h.1409	eRNA	13
h.1410	eRNA	48
h.1411	eRNA	27
h.1412	eRNA	24
h.1413	eRNA	329
h.1414	eRNA	89
h.1415	eRNA	215
h.1416	eRNA	171
h.1417	eRNA	46
h.1418	eRNA	20
h.1419	eRNA	116
h.1420	eRNA	46
h.1421	eRNA	5
h.1422	eRNA	229
h.1423	eRNA	28
h.1424	eRNA	8
h.1425	eRNA	17
h.1426	eRNA	75
h.1427	eRNA	93
h.1428	eRNA	34
h.1429	eRNA	34
h.1430	eRNA	47
h.1431	eRNA	19
h.1432	eRNA	45
h.1433	eRNA	145
h.1434	eRNA	62
h.1435	eRNA	30
h.1436	eRNA	20
h.1437	eRNA	41
h.1439	eRNA	30
h.1440	eRNA	13
h.1441	eRNA	25
h.1442	eRNA	24
h.1443	eRNA	36
h.1444	eRNA	15
h.1445	eRNA	103
h.1446	eRNA	22
h.1447	eRNA	89
h.1448	eRNA	75
h.1449	eRNA	67
h.1450	eRNA	31
h.1451	eRNA	94
h.1452	eRNA	11
h.1453	eRNA	39
h.1454	eRNA	64
h.1455	eRNA	27
h.1456	eRNA	48
h.1457	eRNA	56
h.1458	eRNA	27
h.1459	eRNA	52
h.1460	eRNA	10
h.1461	eRNA	5
h.1462	eRNA	13
h.1463	eRNA	40
h.1464	eRNA	97
h.1465	eRNA	8
h.1466	eRNA	133
h.1468	eRNA	57
h.1469	eRNA	75
h.1470	eRNA	195
h.1471	eRNA	11
h.1472	eRNA	179
h.1473	eRNA	25
h.1474	eRNA	129
h.1476	eRNA	13
h.1477	eRNA	28
h.1478	eRNA	127
h.1479	eRNA	22
h.1480	eRNA	29
h.1481	eRNA	71
h.1482	eRNA	42
h.1483	eRNA	28
h.1484	eRNA	41
h.1485	eRNA	26
h.1486	eRNA	172
h.1487	eRNA	144
h.1488	eRNA	176
h.1489	eRNA	74
h.1490	eRNA	129
h.1491	eRNA	89
h.1493	eRNA	107
h.1494	eRNA	31
h.1495	eRNA	40
h.1496	eRNA	15
h.1497	eRNA	15
h.1498	eRNA	63
h.1499	eRNA	49
h.1500	eRNA	14
h.1501	eRNA	59
h.1502	eRNA	215
h.1503	eRNA	50
h.1504	eRNA	1
h.1505	eRNA	35
h.1506	eRNA	43
h.1507	eRNA	11
h.1508	eRNA	50
h.1509	eRNA	6
h.1510	eRNA	38
h.1511	eRNA	184
h.1513	eRNA	44
h.1514	eRNA	45
h.1515	eRNA	24
h.1516	eRNA	99
h.1517	eRNA	91
h.1519	eRNA	41
h.1520	eRNA	16
h.1521	eRNA	21
h.1522	eRNA	117
h.1523	eRNA	40
h.2378	eRNA	130
h.2380	eRNA	9
h.2381	eRNA	11
h.2382	eRNA	165
h.2383	eRNA	20
h.2384	eRNA	159
h.2385	eRNA	27
h.2386	eRNA	229
h.2387	eRNA	22
h.2388	eRNA	36
h.2389	eRNA	25
h.2390	eRNA	36
h.2391	eRNA	11
h.2392	eRNA	34
h.2393	eRNA	23
h.2394	eRNA	44
h.2395	eRNA	17
h.2396	eRNA	16
h.2397	eRNA	20
h.2398	eRNA	16
h.2399	eRNA	19
h.2400	eRNA	24
h.2401	eRNA	86
h.2402	eRNA	10
h.2403	eRNA	32
h.2404	eRNA	29
h.2405	eRNA	19
h.2406	eRNA	6
h.2408	eRNA	70
h.2409	eRNA	46
h.2410	eRNA	99
h.2411	eRNA	152
h.2412	eRNA	60
h.2413	eRNA	24
h.2414	eRNA	16
h.2415	eRNA	17
h.2416	eRNA	94
h.2417	eRNA	97
h.2418	eRNA	26
h.2419	eRNA	16
h.2421	eRNA	115
h.2422	eRNA	21
h.2423	eRNA	6
h.2424	eRNA	13
h.2425	eRNA	7
h.2426	eRNA	18
h.2427	eRNA	13
h.2428	eRNA	52
h.2429	eRNA	312
h.2430	eRNA	11
h.2431	eRNA	35
h.2432	eRNA	16
h.2433	eRNA	24
h.2434	eRNA	46
h.2435	eRNA	58
h.2436	eRNA	19
h.2437	eRNA	12
h.2439	eRNA	19
h.2440	eRNA	79
h.2441	eRNA	55
h.2442	eRNA	80
h.2443	eRNA	83
h.2444	eRNA	14
h.2445	eRNA	33
h.2446	eRNA	26
h.2447	eRNA	4
h.2448	eRNA	10
h.2449	eRNA	14
h.2450	eRNA	33
h.2451	eRNA	21
h.2452	eRNA	51
h.2453	eRNA	161
h.2454	eRNA	28
h.2455	eRNA	26
h.2456	eRNA	50
h.2457	eRNA	3
h.2458	eRNA	51
h.2459	eRNA	28
h.2460	eRNA	30
h.2461	eRNA	43
h.2462	eRNA	42
h.2463	eRNA	2
h.2464	eRNA	23
h.2465	eRNA	26
h.2466	eRNA	25
h.2467	eRNA	16
h.2468	eRNA	64
h.2469	eRNA	5
h.2470	eRNA	56
h.2471	eRNA	3
h.2472	eRNA	31
h.2473	eRNA	28
h.2474	eRNA	89
h.2475	eRNA	37
h.2476	eRNA	62
h.2477	eRNA	93
h.2478	eRNA	137
h.2479	eRNA	174
h.2480	eRNA	4
h.2481	eRNA	20
h.2482	eRNA	133
h.2483	eRNA	5
h.2484	eRNA	172
h.2485	eRNA	27
h.2486	eRNA	240
h.2487	eRNA	14
h.2488	eRNA	4
h.2489	eRNA	20
h.2490	eRNA	13
h.2491	eRNA	12
h.2492	eRNA	34
h.2493	eRNA	28
h.2494	eRNA	44
h.2495	eRNA	55
h.2496	eRNA	13
h.2497	eRNA	12
h.2498	eRNA	27
h.2499	eRNA	6
h.2500	eRNA	8
h.2501	eRNA	48
h.2503	eRNA	20
h.2504	eRNA	7
h.2505	eRNA	21
h.2506	eRNA	100
h.2507	eRNA	65
h.2508	eRNA	73
h.2509	eRNA	42
h.2510	eRNA	86
h.2511	eRNA	137
h.2514	eRNA	17
h.2515	eRNA	14
h.2516	eRNA	15
h.2518	eRNA	25
h.2519	eRNA	15
h.2521	eRNA	115
h.2522	eRNA	6
h.2523	eRNA	13
h.2524	eRNA	21
h.2525	eRNA	5
h.2526	eRNA	9
h.2527	eRNA	47
h.2528	eRNA	94
h.2529	eRNA	108
h.2530	eRNA	17
h.2531	eRNA	31
h.2532	eRNA	15
h.2533	eRNA	25
h.2534	eRNA	28
h.2535	eRNA	184
h.2536	eRNA	16
h.2537	eRNA	4
h.2539	eRNA	11
h.2540	eRNA	125
h.2541	eRNA	54
h.2542	eRNA	101
h.2543	eRNA	343
h.2545	eRNA	33
h.2546	eRNA	16
h.2547	eRNA	27
h.2548	eRNA	14
h.2549	eRNA	17
h.2550	eRNA	25
h.2552	eRNA	45
h.2554	eRNA	24
h.2555	eRNA	114
h.2556	eRNA	17
h.2557	eRNA	3
h.2558	eRNA	50
h.2559	eRNA	31
h.2560	eRNA	34
h.2561	eRNA	44
h.2562	eRNA	45
h.2563	eRNA	173
h.2564	eRNA	4
h.2565	eRNA	24
h.2566	eRNA	36
h.2567	eRNA	13
h.2568	eRNA	41
h.2569	eRNA	21
h.2570	eRNA	15
h.2571	eRNA	4
h.2572	eRNA	61
h.2573	eRNA	176
h.2574	eRNA	103
h.2575	eRNA	20
h.2577	eRNA	96
h.3405	eRNA	16
h.3420	eRNA	20
h.3426	eRNA	53
h.3431	eRNA	57
h.3432	eRNA	97
h.3438	eRNA	29
h.3441	eRNA	30
h.3444	eRNA	118
h.3450	eRNA	50
h.3451	eRNA	112
h.3453	eRNA	89
h.3458	eRNA	46
h.3463	eRNA	75
h.3464	eRNA	102
h.3472	eRNA	12
h.3473	eRNA	51
h.3475	eRNA	5
h.3476	eRNA	14
h.3477	eRNA	39
h.3480	eRNA	46
h.3497	eRNA	2
h.3499	eRNA	18
h.3500	eRNA	86
h.3502	eRNA	113
h.3510	eRNA	9
h.3514	eRNA	167
h.3526	eRNA	40
h.3528	eRNA	76
h.3538	eRNA	44
h.3543	eRNA	22
h.3547	eRNA	80
h.3550	eRNA	49
h.3553	eRNA	89
h.3557	eRNA	27
h.3563	eRNA	29
h.3573	eRNA	46
h.3576	eRNA	40
h.3577	eRNA	29
h.3595	eRNA	6
h.3600	eRNA	52
h.3602	eRNA	107
h.3627	eRNA	42
h.3628	eRNA	26
h.3629	eRNA	32
h.3630	eRNA	26
h.3632	eRNA	51
h.3633	eRNA	64
h.3634	eRNA	158
h.3635	eRNA	57
h.3636	eRNA	54
h.3637	eRNA	112
h.3641	eRNA	49
h.3642	eRNA	52
h.3657	eRNA	146
