orth_id	hESC_rep1	hESC_rep1.UT	hESC_rep2	hESC_rep2.UT	hESC_rep3	hESC_rep3.UT	mESC_rep1	mESC_rep1.UT	mESC_rep2	mESC_rep2.UT	mESC_rep3	mESC_rep3.UT
ENSG00000116198__ENSMUSG00000039523	1920	626	1970	639	2108	738	694	537	677	680	766	674
ENSG00000169598__ENSMUSG00000029027	818	242	747	256	695	331	257	234	195	201	297	227
ENSG00000198912__ENSMUSG00000047613	1566	551	1619	564	1716	599	554	396	604	638	545	630
ENSG00000196581__ENSMUSG00000039546	334	151	344	141	419	183	0	0	0	0	1	0
ENSG00000131697__ENSMUSG00000039577	1152	480	1064	442	1106	486	234	199	244	193	321	234
ENSG00000069424__ENSMUSG00000028931	599	163	584	180	340	193	69	57	108	103	111	124
ENSG00000116254__ENSMUSG00000005045	176	55	206	60	192	48	190	152	200	167	309	269
ENSG00000116251__ENSMUSG00000028936	28790	10180	27682	11949	32347	12263	12286	9786	12734	12123	14596	13945
ENSG00000158286__ENSMUSG00000058498	63	44	69	36	54	24	31	34	36	44	65	66
ENSG00000116237__ENSMUSG00000039662	16067	5034	16501	5849	14221	6231	929	794	900	1043	815	824
ENSG00000173673__ENSMUSG00000028946	234	145	309	180	276	202	0	0	0	0	0	0
ENSG00000158292__ENSMUSG00000042804	423	140	404	127	271	163	9	14	16	30	9	16
ENSG00000097021__ENSMUSG00000028937	12520	2601	12560	2979	8820	3325	1273	927	1247	1278	1288	1139
ENSG00000069812__ENSMUSG00000028940	6	0	15	1	18	2	2	1	1	0	3	4
ENSG00000187017__ENSMUSG00000028943	625	75	419	136	455	99	58	46	56	54	108	57
ENSG00000215788__ENSMUSG00000024793	262	81	248	70	244	80	13	23	17	25	22	21
ENSG00000171680__ENSMUSG00000039713	1098	287	1413	331	918	331	1132	972	1176	1013	1469	1206
ENSG00000162408__ENSMUSG00000028948	1907	811	1970	927	2264	1058	2424	2014	2253	2529	2201	2317
ENSG00000173662__ENSMUSG00000028950	8	2	8	1	5	1	78	77	97	62	102	59
ENSG00000204859__ENSMUSG00000028952	1273	345	1360	375	1124	435	333	326	335	367	366	345
ENSG00000162413__ENSMUSG00000073700	3986	1127	3913	1209	3396	1322	825	622	915	766	997	773
ENSG00000116273__ENSMUSG00000047777	3248	826	4041	1157	3339	1339	1069	784	1126	1153	1182	1037
ENSG00000041988__ENSMUSG00000039759	810	160	821	152	621	217	334	427	259	307	375	397
ENSG00000007923__ENSMUSG00000039768	6018	2127	6777	2481	5914	2640	3304	2560	2865	2941	3361	3106
ENSG00000171735__ENSMUSG00000014592	2029	595	1947	682	2001	713	283	275	285	321	411	393
ENSG00000049245__ENSMUSG00000028955	3022	975	2561	1217	3280	1261	713	618	711	731	793	774
ENSG00000049246__ENSMUSG00000028957	811	462	414	285	1002	413	44	46	44	55	78	101
ENSG00000049247__ENSMUSG00000028963	4	3	2	0	2	1	0	0	0	0	0	0
ENSG00000049249__ENSMUSG00000028965	1	0	1	1	3	0	0	8	4	2	9	7
ENSG00000116288__ENSMUSG00000028964	15685	4307	16488	5137	14608	5623	3275	2616	3149	3356	3288	3446
ENSG00000116285__ENSMUSG00000028967	4950	1784	5432	1671	7412	2203	238	227	241	272	282	295
ENSG00000162426__ENSMUSG00000039838	165	48	202	56	172	58	4	2	1	2	2	11
ENSG00000142599__ENSMUSG00000039852	7424	2691	8736	3242	8049	3486	3494	2951	3112	3109	3912	3241
ENSG00000074800__ENSMUSG00000059040	192737	47391	200567	54396	152699	57497	164	108	152	227	175	146
ENSG00000074800__ENSMUSG00000063524	192737	47391	200567	54396	152699	57497	20384	14916	21616	24738	18980	19644
ENSG00000131686__ENSMUSG00000028972	0	0	1	0	1	0	5	3	8	4	4	5
ENSG00000197241__ENSMUSG00000062064	3	1	2	0	3	0	10	3	18	13	12	14
ENSG00000142583__ENSMUSG00000028976	6	4	10	1	9	2	27	23	25	30	32	22
ENSG00000252404__ENSMUSG00000088529	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758__ENSMUSG00000047875	277	67	198	39	133	60	11	14	21	22	45	26
ENSG00000049239__ENSMUSG00000028980	1088	292	879	253	683	261	1441	923	1332	956	1445	963
ENSG00000171621__ENSMUSG00000039911	117	55	129	43	112	44	80	83	104	90	175	159
ENSG00000171612__ENSMUSG00000028982	1960	514	2134	666	1934	672	552	490	550	599	745	726
ENSG00000188807__ENSMUSG00000044700	2378	688	3017	851	2457	948	1914	1618	1700	1589	1929	1647
ENSG00000171608__ENSMUSG00000039936	2010	699	2040	509	2039	527	453	281	373	302	533	385
ENSG00000171603__ENSMUSG00000039953	8256	2703	9552	3266	8049	3579	6737	5017	6333	5246	8345	6018
ENSG00000178585__ENSMUSG00000028988	2878	743	2727	879	2101	894	238	202	243	242	256	252
ENSG00000162441__ENSMUSG00000028990	1142	432	1001	429	1418	515	761	770	710	645	814	778
ENSG00000173614__ENSMUSG00000028992	283	75	312	93	305	117	147	164	161	125	155	144
ENSG00000162444__ENSMUSG00000028996	76	24	114	22	75	24	4	0	5	4	2	1
ENSG00000130939__ENSMUSG00000028960	9033	3566	8375	4034	9565	4609	3640	3050	3767	3596	4141	3771
ENSG00000201746__ENSMUSG00000084696	0	0	0	1	1	1	0	0	0	0	0	0
ENSG00000054523__ENSMUSG00000063077	8231	4495	4971	3862	10357	4247	1277	1215	1242	1270	1688	1644
ENSG00000199562__ENSMUSG00000088748	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000142657__ENSMUSG00000028961	35108	9566	36288	11741	30570	12074	8959	4870	8623	7089	7076	5447
ENSG00000175279__ENSMUSG00000073705	194	80	179	96	250	89	316	242	353	355	354	323
ENSG00000241563__ENSMUSG00000028971	6	3	10	2	9	8	1	1	4	0	1	5
ENSG00000160049__ENSMUSG00000028974	9439	2560	10542	2716	8748	3119	502	388	391	382	459	422
ENSG00000142655__ENSMUSG00000028975	1623	410	1742	519	1279	530	468	399	416	410	475	457
ENSG00000175262__ENSMUSG00000070577	6	3	5	2	6	5	1	0	0	1	0	2
ENSG00000120948__ENSMUSG00000041459	16051	7526	12261	9037	24218	8629	6712	8171	8660	11121	8951	11179
ENSG00000009724__ENSMUSG00000028979	32	71	23	45	49	55	62	51	91	36	124	70
ENSG00000116649__ENSMUSG00000006442	9206	2392	12650	3512	10350	4043	2503	2112	2751	3252	2654	2724
ENSG00000171824__ENSMUSG00000017264	5821	2390	5294	2508	6481	2712	2455	1777	2383	2357	2541	2438
ENSG00000198793__ENSMUSG00000028991	12359	5107	10345	4773	11164	5201	1834	1640	1904	2014	2174	2072
ENSG00000171819__ENSMUSG00000028989	1	1	2	0	1	0	0	0	0	0	1	0
ENSG00000207451__ENSMUSG00000088044	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120942__ENSMUSG00000047719	2684	948	2824	1012	2299	1049	247	223	276	267	333	256
ENSG00000204624__ENSMUSG00000041544	343	185	362	162	291	196	1	0	4	10	10	3
ENSG00000116661__ENSMUSG00000041556	2239	621	2333	630	1783	741	40	23	53	29	79	52
ENSG00000116663__ENSMUSG00000055401	74	26	69	16	76	10	823	508	894	774	1030	781
ENSG00000116670__ENSMUSG00000029003	13932	3772	13964	4339	10138	4726	598	447	517	580	590	614
ENSG00000162490__ENSMUSG00000029005	2819	1145	3031	1166	2587	1428	15	16	10	12	22	13
ENSG00000177674__ENSMUSG00000029007	3026	725	2764	723	2110	918	3276	2113	2938	2312	3107	2319
ENSG00000177000__ENSMUSG00000029009	2017	590	1469	523	1409	624	941	758	947	1217	1067	1089
ENSG00000011021__ENSMUSG00000029016	3227	1288	2318	939	2854	963	1265	1128	1346	1542	1802	1768
ENSG00000175206__ENSMUSG00000041616	9	6	6	4	16	3	0	2	2	0	1	2
ENSG00000120937__ENSMUSG00000029019	183	0	132	1	224	0	65	34	64	38	52	31
ENSG00000116685__ENSMUSG00000044496	4005	1104	3966	1130	3099	1270	1756	1227	1571	1334	1708	1301
ENSG00000083444__ENSMUSG00000019055	6700	1689	6811	1657	5144	1917	1867	1249	1733	1347	2219	1570
ENSG00000116688__ENSMUSG00000029020	10660	3224	11038	3501	8943	3664	679	495	597	607	724	602
ENSG00000116691__ENSMUSG00000029022	3576	830	3173	807	2439	924	1169	948	1178	1109	1388	1282
ENSG00000202461__ENSMUSG00000088825	7	9	4	0	5	0	0	0	0	0	0	0
ENSG00000120949__ENSMUSG00000028602	3670	980	4187	1014	3498	1287	265	170	284	267	250	225
ENSG00000028137__ENSMUSG00000028599	199	42	192	39	144	45	623	521	429	427	683	623
ENSG00000048707__ENSMUSG00000020220	3128	1744	1476	1559	3615	1612	1440	1291	1429	1563	1968	1834
ENSG00000162496__ENSMUSG00000066026	644	228	598	369	704	337	105	72	107	70	148	86
ENSG00000221340__ENSMUSG00000080566	2	3	0	1	0	4	0	0	0	0	0	0
ENSG00000204518__ENSMUSG00000070609	1	0	1	0	2	1	0	0	0	0	0	0
ENSG00000204518__ENSMUSG00000041735	1	0	1	0	2	1	0	0	0	0	0	0
ENSG00000204518__ENSMUSG00000028593	1	0	1	0	2	1	0	0	0	0	0	0
ENSG00000204518__ENSMUSG00000078504	1	0	1	0	2	1	0	0	0	0	0	0
