orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000109572__ENSMUSG00000004319	2397	1331	4562	2369	2679	2992
ENSG00000056050__ENSMUSG00000038005	1160	872	1667	845	888	932
ENSG00000198948__ENSMUSG00000031647	185	117	364	6	6	9
ENSG00000109576__ENSMUSG00000057228	418	407	697	1	0	6
ENSG00000109586__ENSMUSG00000031608	4430	2568	9633	381	581	549
ENSG00000164104__ENSMUSG00000054717	8800	7702	11730	6035	6961	7186
ENSG00000164105__ENSMUSG00000031609	429	449	484	793	964	970
ENSG00000164106__ENSMUSG00000031610	1	0	2	0	1	0
ENSG00000164107__ENSMUSG00000038193	1	0	0	3	1	0
ENSG00000164117__ENSMUSG00000038206	309	216	344	292	313	367
ENSG00000164118__ENSMUSG00000038215	435	251	995	496	484	633
ENSG00000164120__ENSMUSG00000031613	17	17	40	19	51	44
ENSG00000145451__ENSMUSG00000038257	5	3	4	0	0	0
ENSG00000168594__ENSMUSG00000046258	3	0	2	0	0	0
ENSG00000150625__ENSMUSG00000031517	70	37	75	0	0	0
ENSG00000150627__ENSMUSG00000039375	115	55	365	2	0	3
ENSG00000201516__ENSMUSG00000064596	0	0	0	0	0	0
ENSG00000150628__ENSMUSG00000031518	1	1	0	0	0	0
ENSG00000164122__ENSMUSG00000031519	0	2	1	0	0	0
ENSG00000129128__ENSMUSG00000054408	4348	3008	7844	1850	2176	2376
ENSG00000129128__ENSMUSG00000048040	4348	3008	7844	175	150	167
ENSG00000129128__ENSMUSG00000048355	4348	3008	7844	58	58	46
ENSG00000150630__ENSMUSG00000031520	62	65	47	231	252	239
ENSG00000222859__ENSMUSG00000089469	0	0	0	0	0	0
ENSG00000222859__ENSMUSG00000089480	0	0	0	0	0	0
ENSG00000109674__ENSMUSG00000039396	559	422	785	44	57	78
ENSG00000038002__ENSMUSG00000031521	342	311	459	338	304	477
ENSG00000253000__ENSMUSG00000088904	0	0	0	0	0	0
ENSG00000251742__ENSMUSG00000088629	0	0	0	0	0	0
ENSG00000218336__ENSMUSG00000031561	5103	2901	6138	700	724	667
ENSG00000252343__ENSMUSG00000084632	0	0	0	4	2	1
ENSG00000252343__ENSMUSG00000064550	0	0	0	0	0	0
ENSG00000251714__ENSMUSG00000088572	0	0	0	0	0	0
ENSG00000129187__ENSMUSG00000031562	5167	5679	4930	500	563	611
ENSG00000151718__ENSMUSG00000031563	5490	3339	9416	1641	1835	2773
ENSG00000168564__ENSMUSG00000038069	1035	820	1915	259	374	394
ENSG00000168556__ENSMUSG00000063049	477	464	787	231	236	241
ENSG00000182552__ENSMUSG00000031568	628	512	1098	569	633	624
ENSG00000252157__ENSMUSG00000088643	0	0	1	1	0	0
ENSG00000168538__ENSMUSG00000038102	1702	960	2792	1386	1336	1551
ENSG00000173320__ENSMUSG00000038143	2248	1336	3550	86	100	145
ENSG00000164303__ENSMUSG00000038173	36	44	32	0	1	0
ENSG00000168310__ENSMUSG00000031627	634	543	729	20	12	17
ENSG00000251878__ENSMUSG00000065160	0	0	0	0	0	0
ENSG00000164305__ENSMUSG00000031628	7020	4873	13890	1184	1138	1306
ENSG00000164306__ENSMUSG00000038225	332	217	548	381	425	801
ENSG00000151725__ENSMUSG00000031629	4001	3094	7695	317	330	369
ENSG00000151726__ENSMUSG00000018796	2909	908	2058	603	679	872
ENSG00000187821__ENSMUSG00000047171	2	0	1	0	0	0
ENSG00000151729__ENSMUSG00000031633	3011	3627	3502	2651	2997	3388
ENSG00000164323__ENSMUSG00000031631	1600	832	3609	239	299	419
ENSG00000109762__ENSMUSG00000038291	585	469	929	57	86	112
ENSG00000109771__ENSMUSG00000031637	39	33	87	0	0	0
ENSG00000186352__ENSMUSG00000050914	18	37	35	17	30	20
ENSG00000109775__ENSMUSG00000031634	1214	769	1883	113	88	191
ENSG00000207231__ENSMUSG00000065721	0	0	1	0	0	0
ENSG00000205129__ENSMUSG00000071103	39	37	57	6	1	8
ENSG00000168491__ENSMUSG00000071104	49	32	105	0	0	0
ENSG00000154553__ENSMUSG00000031636	407	644	729	0	0	4
ENSG00000154556__ENSMUSG00000031626	789	652	1624	0	1	0
ENSG00000164342__ENSMUSG00000031639	66	29	102	1	0	1
ENSG00000109794__ENSMUSG00000070044	436	450	403	0	2	1
ENSG00000145476__ENSMUSG00000031640	45	54	107	0	0	0
ENSG00000145476__ENSMUSG00000079057	45	54	107	0	0	0
ENSG00000088926__ENSMUSG00000031645	22	9	41	0	1	0
ENSG00000212387__ENSMUSG00000089051	0	0	0	0	0	0
ENSG00000168412__ENSMUSG00000054764	12	11	23	4	1	3
ENSG00000083857__ENSMUSG00000070047	11128	5504	13582	6866	8346	7673
ENSG00000179059__ENSMUSG00000051176	7855	7456	7149	1986	2351	2639
ENSG00000179046__ENSMUSG00000091490	1649	1490	2181	633	709	1122
ENSG00000184108__ENSMUSG00000031651	3	2	1	544	639	748
ENSG00000109536__ENSMUSG00000031590	1299	1136	1630	1155	1102	1203
ENSG00000205097__ENSMUSG00000087385	0	0	0	11	15	19
ENSG00000185028__ENSMUSG00000021579	0	0	0	0	0	0
ENSG00000164366__ENSMUSG00000021578	1395	1493	1487	1014	883	997
ENSG00000073578__ENSMUSG00000021577	5625	6030	4825	6592	5987	7130
ENSG00000249915__ENSMUSG00000021576	3652	3941	3655	1218	1237	1273
ENSG00000063438__ENSMUSG00000021575	49	61	48	67	67	66
ENSG00000180104__ENSMUSG00000034152	3091	3007	2543	1196	1060	1192
ENSG00000066230__ENSMUSG00000036123	6	7	6	0	0	1
ENSG00000112877__ENSMUSG00000021572	1189	1226	924	503	460	678
ENSG00000171368__ENSMUSG00000021573	57	71	40	0	2	5
ENSG00000188818__ENSMUSG00000069189	115	99	121	1	0	0
ENSG00000206077__ENSMUSG00000069189	8	9	17	1	0	0
ENSG00000028310__ENSMUSG00000057649	3877	4514	3537	630	645	707
ENSG00000071539__ENSMUSG00000021569	3877	3968	4465	1210	1186	1245
ENSG00000145506__ENSMUSG00000021567	199	296	195	14	14	25
ENSG00000113504__ENSMUSG00000017756	3053	2754	2332	6301	5188	7774
ENSG00000174358__ENSMUSG00000021565	5	1	5	0	0	1
ENSG00000164363__ENSMUSG00000021612	1	0	2	0	0	0
ENSG00000164362__ENSMUSG00000021611	1081	996	889	570	581	738
ENSG00000049656__ENSMUSG00000021610	9178	9312	7762	1059	988	918
ENSG00000142319__ENSMUSG00000021609	24	29	17	10	4	6
ENSG00000153395__ENSMUSG00000021608	23795	24853	23119	1329	1182	1110
ENSG00000171421__ENSMUSG00000021607	2110	2329	1921	794	853	852
ENSG00000145494__ENSMUSG00000021606	4895	5531	4675	1213	1054	1061
ENSG00000113430__ENSMUSG00000021604	48	52	60	3	3	1
ENSG00000170561__ENSMUSG00000001504	568	592	1079	16	7	7
ENSG00000170549__ENSMUSG00000060969	5	12	17	1	0	1
ENSG00000223007__ENSMUSG00000084597	0	0	0	0	0	0
ENSG00000145536__ENSMUSG00000049538	1121	878	1057	0	0	0
ENSG00000164151__ENSMUSG00000034525	4443	2278	9693	2625	2887	3104
ENSG00000133398__ENSMUSG00000021598	1247	1462	1473	0	0	0
ENSG00000215218__ENSMUSG00000052981	34	55	33	9	18	14
ENSG00000037474__ENSMUSG00000021595	9263	9531	12383	3739	4165	4207
ENSG00000145545__ENSMUSG00000021594	1881	1880	1826	105	106	76
ENSG00000112941__ENSMUSG00000034575	1862	1963	2164	603	684	699
ENSG00000200243__ENSMUSG00000065254	0	0	0	0	0	0
ENSG00000078295__ENSMUSG00000021536	11972	9779	9212	13	15	26
ENSG00000215217__ENSMUSG00000021534	30	56	24	3	6	5
ENSG00000124275__ENSMUSG00000034617	2112	1433	3725	1095	1235	1571
ENSG00000124279__ENSMUSG00000021532	649	403	1224	682	699	743
ENSG00000112902__ENSMUSG00000022231	499	323	472	1377	1385	1348
ENSG00000239112__ENSMUSG00000089317	3	0	1	1	6	1
ENSG00000169777__ENSMUSG00000045267	1	1	0	0	0	0
ENSG00000150756__ENSMUSG00000039065	394	272	713	120	135	159
ENSG00000150753__ENSMUSG00000022234	35251	27296	37729	11463	12246	12528
ENSG00000164237__ENSMUSG00000022235	1422	2035	1792	1	4	7
ENSG00000145495__ENSMUSG00000039100	3946	3423	6388	1712	1668	2016
ENSG00000145491__ENSMUSG00000022236	7	28	19	7	6	10
ENSG00000164236__ENSMUSG00000022237	101	111	235	88	135	228
ENSG00000169862__ENSMUSG00000022240	552	508	554	188	193	193
ENSG00000039139__ENSMUSG00000022262	110	64	275	5	2	7
ENSG00000038382__ENSMUSG00000022263	5320	3991	6441	213	316	372
ENSG00000145569__ENSMUSG00000056069	397	309	686	1	2	0
ENSG00000154124__ENSMUSG00000046034	1808	1355	2487	224	232	224
ENSG00000154122__ENSMUSG00000022265	631	624	601	283	375	511
ENSG00000183580__ENSMUSG00000043556	1129	1205	1220	3	3	0
ENSG00000183654__ENSMUSG00000022269	11	23	10	0	6	3
ENSG00000173545__ENSMUSG00000052253	2534	2712	2506	782	884	899
ENSG00000154153__ENSMUSG00000022270	88	55	197	674	667	1016
ENSG00000201370__ENSMUSG00000070235	0	0	0	0	0	0
ENSG00000145555__ENSMUSG00000022272	10975	8756	12883	9365	9884	10733
ENSG00000176788__ENSMUSG00000045763	5559	6594	6309	102	163	118
ENSG00000145526__ENSMUSG00000040420	7	5	17	4	0	6
ENSG00000154162__ENSMUSG00000040452	4	2	3	0	1	2
ENSG00000252083__ENSMUSG00000088398	0	0	0	0	0	0
ENSG00000040731__ENSMUSG00000022321	2	1	5	4	3	6
ENSG00000223004__ENSMUSG00000084668	0	0	0	0	0	0
ENSG00000113100__ENSMUSG00000025370	0	0	7	0	2	0
ENSG00000113361__ENSMUSG00000039385	42	51	94	0	0	0
ENSG00000113360__ENSMUSG00000022191	6241	5170	7802	4881	4908	4808
ENSG00000082213__ENSMUSG00000022195	1384	829	2474	1498	1703	1809
ENSG00000133401__ENSMUSG00000022197	1133	634	1472	333	145	214
ENSG00000113384__ENSMUSG00000022200	4863	4308	6628	1380	1504	1849
ENSG00000150712__ENSMUSG00000039458	3914	2878	5922	1242	1721	1694
ENSG00000207052__ENSMUSG00000064494	0	0	0	1	1	1
ENSG00000056097__ENSMUSG00000022201	6810	3943	11040	2048	2455	2976
ENSG00000113387__ENSMUSG00000022205	9757	7703	14091	3319	3699	3786
ENSG00000113389__ENSMUSG00000022206	3	3	10	125	171	127
ENSG00000113407__ENSMUSG00000022241	15524	9157	26509	4181	4257	5207
ENSG00000151388__ENSMUSG00000047497	1661	1289	1494	0	0	0
ENSG00000164175__ENSMUSG00000022243	0	1	3	3	3	4
ENSG00000242110__ENSMUSG00000022244	143	132	215	285	291	341
ENSG00000273294__ENSMUSG00000058914	2	0	1	3	4	1
ENSG00000082196__ENSMUSG00000058914	13	12	26	3	4	1
ENSG00000039560__ENSMUSG00000022246	6131	3759	14298	3219	3333	4671
ENSG00000205838__ENSMUSG00000022249	81	62	117	1	0	1
ENSG00000113456__ENSMUSG00000022248	3267	2788	3706	761	789	877
ENSG00000113460__ENSMUSG00000022247	3162	2309	5137	2235	2485	2664
ENSG00000168724__ENSMUSG00000044224	2410	1611	4979	1325	1637	1764
ENSG00000113492__ENSMUSG00000089678	7	7	2	0	0	0
ENSG00000113494__ENSMUSG00000005268	101	57	223	93	137	204
ENSG00000152582__ENSMUSG00000072663	32	23	66	25	21	30
ENSG00000168685__ENSMUSG00000003882	5	1	6	0	0	0
ENSG00000152611__ENSMUSG00000039676	3	0	4	303	283	283
ENSG00000168671__ENSMUSG00000072664	2783	2614	2533	0	0	0
ENSG00000168671__ENSMUSG00000049152	2783	2614	2533	0	0	0
ENSG00000164187__ENSMUSG00000039704	246	111	599	345	415	502
ENSG00000145604__ENSMUSG00000054115	4601	3816	5782	871	1141	1119
ENSG00000201223__ENSMUSG00000088077	0	0	0	0	0	0
ENSG00000152620__ENSMUSG00000022253	675	412	1321	1094	1522	1740
ENSG00000164188__ENSMUSG00000048424	3	1	8	0	1	0
ENSG00000079215__ENSMUSG00000005360	832	536	867	13	21	20
ENSG00000164190__ENSMUSG00000022141	2414	1031	6356	1256	1664	2337
ENSG00000197603__ENSMUSG00000039801	402	193	1240	988	1106	1483
ENSG00000113569__ENSMUSG00000022142	6812	3491	8540	3850	3978	4563
ENSG00000082068__ENSMUSG00000039828	2341	1906	2466	813	732	888
ENSG00000168621__ENSMUSG00000022144	15	23	32	0	0	0
ENSG00000164318__ENSMUSG00000042961	20	38	19	2	0	0
ENSG00000113594__ENSMUSG00000054263	588	306	1535	1296	1508	1878
ENSG00000145623__ENSMUSG00000022146	434	390	580	1	2	3
ENSG00000164327__ENSMUSG00000050310	830	295	2070	679	882	1143
ENSG00000082074__ENSMUSG00000022148	0	0	0	1	0	0
ENSG00000113600__ENSMUSG00000022149	0	2	4	0	0	0
ENSG00000153071__ENSMUSG00000022150	349	337	536	15	22	28
ENSG00000171522__ENSMUSG00000039942	52	31	78	20	29	27
ENSG00000113638__ENSMUSG00000022151	300	188	485	272	349	325
ENSG00000132356__ENSMUSG00000050697	1003	656	2200	794	997	1120
ENSG00000145592__ENSMUSG00000041841	50364	52312	43308	10426	10264	11229
ENSG00000212296__ENSMUSG00000077737	2	7	4	23	23	28
ENSG00000132357__ENSMUSG00000041849	45	48	66	87	119	112
ENSG00000112936__ENSMUSG00000079105	1	2	2	6	4	4
ENSG00000171495__ENSMUSG00000022155	0	0	0	1	2	1
ENSG00000039537__ENSMUSG00000022181	0	0	0	0	0	0
ENSG00000182836__ENSMUSG00000049148	3	2	6	0	0	0
ENSG00000083720__ENSMUSG00000022186	2638	1865	4485	2246	2131	3282
ENSG00000205765__ENSMUSG00000041935	1639	973	3855	1953	2488	3669
ENSG00000151876__ENSMUSG00000022184	53	57	56	37	34	53
ENSG00000112964__ENSMUSG00000055737	8	5	36	16	19	27
ENSG00000198865__ENSMUSG00000091119	152	89	319	3	3	10
ENSG00000250722__ENSMUSG00000064373	148	86	156	31	68	63
ENSG00000151882__ENSMUSG00000074715	28	37	37	10	6	15
ENSG00000151881__ENSMUSG00000074634	224	157	402	63	77	89
ENSG00000172244__ENSMUSG00000062822	446	278	882	765	716	808
ENSG00000172239__ENSMUSG00000025451	5003	3998	6731	1627	1623	1933
ENSG00000112992__ENSMUSG00000025453	964	756	1293	829	796	927
ENSG00000212561__ENSMUSG00000065237	0	0	0	0	0	0
ENSG00000070193__ENSMUSG00000021732	5	6	11	211	307	270
ENSG00000112996__ENSMUSG00000021731	3544	3748	4742	1147	1118	1236
ENSG00000164588__ENSMUSG00000021730	297	235	416	0	1	1
ENSG00000170571__ENSMUSG00000021728	2323	1319	4566	832	951	962
ENSG00000151883__ENSMUSG00000021725	1240	683	2274	6	7	2
ENSG00000206606__ENSMUSG00000089471	0	0	0	0	0	0
ENSG00000016082__ENSMUSG00000042258	11	10	10	30	36	40
ENSG00000213949__ENSMUSG00000042284	284	175	622	4	13	6
ENSG00000152684__ENSMUSG00000042275	2539	2890	2736	426	403	401
ENSG00000164171__ENSMUSG00000015533	396	150	788	1	0	1
ENSG00000164172__ENSMUSG00000015536	1298	1336	1806	382	405	464
ENSG00000134363__ENSMUSG00000021765	358	427	758	577	166	228
ENSG00000164258__ENSMUSG00000021764	1788	1818	2120	1887	1709	2003
ENSG00000185305__ENSMUSG00000042348	671	340	1005	1422	1454	1719
ENSG00000169271__ENSMUSG00000051456	0	0	0	0	0	1
ENSG00000178996__ENSMUSG00000042364	1206	827	1809	2353	2650	2747
ENSG00000164283__ENSMUSG00000042379	0	0	0	0	0	0
ENSG00000113088__ENSMUSG00000042385	2	0	0	0	0	0
ENSG00000145649__ENSMUSG00000023132	1	0	0	0	0	0
ENSG00000164287__ENSMUSG00000078926	10	3	20	0	5	2
ENSG00000164294__ENSMUSG00000021760	3153	1906	5537	147	114	135
ENSG00000198983__ENSMUSG00000065575	0	0	0	0	0	0
ENSG00000234602__ENSMUSG00000074651	2	2	0	0	0	0
ENSG00000152669__ENSMUSG00000042417	6	4	6	10	7	15
ENSG00000067248__ENSMUSG00000042426	2532	1431	5868	1259	1328	1454
ENSG00000039123__ENSMUSG00000016018	5528	3205	10484	2404	3283	3494
ENSG00000067113__ENSMUSG00000021759	829	900	883	1172	1300	1243
ENSG00000177058__ENSMUSG00000047789	2235	1461	3526	197	155	255
ENSG00000152670__ENSMUSG00000021758	5	1	4	190	209	248
ENSG00000164509__ENSMUSG00000050377	4	7	6	0	0	1
ENSG00000134352__ENSMUSG00000021756	431	215	1190	2087	2132	2111
ENSG00000164512__ENSMUSG00000049985	0	0	0	0	2	2
ENSG00000253032__ENSMUSG00000087796	0	0	0	0	0	0
ENSG00000253032__ENSMUSG00000089624	0	0	0	0	0	0
ENSG00000095015__ENSMUSG00000021754	919	519	1652	899	1022	1178
ENSG00000155545__ENSMUSG00000032727	1226	671	2832	595	914	1048
ENSG00000169067__ENSMUSG00000055194	0	0	0	0	0	0
ENSG00000145632__ENSMUSG00000021701	2418	2024	5029	1296	1159	1473
ENSG00000175857__ENSMUSG00000046006	1	0	1	0	0	0
ENSG00000152932__ENSMUSG00000021700	736	624	794	0	0	0
ENSG00000113448__ENSMUSG00000021699	134	65	316	313	320	331
ENSG00000202601__ENSMUSG00000076946	0	0	0	0	0	0
ENSG00000202017__ENSMUSG00000089450	0	0	0	0	0	0
ENSG00000035499__ENSMUSG00000021697	2858	1902	4890	344	333	352
ENSG00000164181__ENSMUSG00000021696	359	198	579	1878	1747	2189
ENSG00000049167__ENSMUSG00000021694	1041	708	1332	338	342	355
ENSG00000164182__ENSMUSG00000068184	2491	2503	1925	278	271	315
ENSG00000188725__ENSMUSG00000071180	1806	1400	3669	590	872	962
ENSG00000251983__ENSMUSG00000088500	0	0	0	0	0	0
ENSG00000068796__ENSMUSG00000021693	3082	2096	6835	1202	1289	1397
ENSG00000086189__ENSMUSG00000021692	2770	2701	3573	527	600	655
ENSG00000086200__ENSMUSG00000042590	3358	1928	5194	1875	1993	2167
ENSG00000199279__ENSMUSG00000089078	0	0	0	0	0	0
ENSG00000178394__ENSMUSG00000021721	105	140	177	0	0	0
ENSG00000164197__ENSMUSG00000021720	51	30	82	11	14	5
ENSG00000186479__ENSMUSG00000021719	88	48	160	1	0	4
ENSG00000201869__ENSMUSG00000088106	0	0	0	0	0	0
ENSG00000145642__ENSMUSG00000042655	410	380	310	0	0	0
ENSG00000153006__ENSMUSG00000021716	1553	1189	2817	357	412	461
ENSG00000153015__ENSMUSG00000021715	2255	1548	3887	518	544	765
ENSG00000049192__ENSMUSG00000046169	25	11	50	3	3	2
ENSG00000123219__ENSMUSG00000021714	1224	890	2258	174	219	313
ENSG00000113593__ENSMUSG00000021713	1465	931	3185	463	678	772
ENSG00000113595__ENSMUSG00000021712	523	315	1382	496	733	985
ENSG00000113597__ENSMUSG00000021711	683	398	1437	879	1042	1183
ENSG00000197860__ENSMUSG00000042743	685	504	1343	91	99	114
ENSG00000123213__ENSMUSG00000021710	11242	7339	17520	976	1000	1202
ENSG00000112851__ENSMUSG00000021709	1063	558	2805	606	918	1056
ENSG00000069020__ENSMUSG00000034751	280	229	463	322	314	358
ENSG00000134061__ENSMUSG00000021624	1	1	0	20	11	11
ENSG00000145675__ENSMUSG00000041417	563	247	960	288	376	450
ENSG00000212249__ENSMUSG00000089473	0	0	0	0	0	0
ENSG00000145740__ENSMUSG00000021629	1709	1313	2642	1078	1306	1491
ENSG00000220986__ENSMUSG00000080394	0	0	0	0	0	0
ENSG00000134057__ENSMUSG00000041431	17351	17674	16617	5541	6222	6844
ENSG00000153044__ENSMUSG00000045273	4050	4582	3843	903	1013	1093
ENSG00000134056__ENSMUSG00000061474	1290	1163	1408	373	360	340
ENSG00000134058__ENSMUSG00000069089	3454	2406	4511	1705	1804	2004
ENSG00000183323__ENSMUSG00000048924	379	302	456	43	48	82
ENSG00000152942__ENSMUSG00000021635	1412	740	2860	531	664	760
ENSG00000152939__ENSMUSG00000021636	1582	1530	2027	60	39	70
ENSG00000197822__ENSMUSG00000021638	1159	646	2360	111	78	123
ENSG00000212260__ENSMUSG00000088016	0	0	0	0	0	0
ENSG00000212260__ENSMUSG00000088910	0	0	0	0	0	0
ENSG00000183474__ENSMUSG00000021639	716	616	1058	504	582	666
ENSG00000205572__ENSMUSG00000021643	114	84	471	15	15	17
ENSG00000205571__ENSMUSG00000021645	551	571	871	1037	928	1034
ENSG00000172058__ENSMUSG00000021643	7	6	8	15	15	17
ENSG00000172062__ENSMUSG00000021645	542	458	682	1037	928	1034
ENSG00000145736__ENSMUSG00000021639	587	585	995	504	582	666
ENSG00000145734__ENSMUSG00000049658	1481	566	4657	834	1198	1332
ENSG00000131844__ENSMUSG00000021646	6744	6945	7351	407	364	448
ENSG00000164326__ENSMUSG00000021647	0	2	1	1	0	0
ENSG00000131711__ENSMUSG00000052727	16653	6811	29847	1359	1362	1519
ENSG00000113048__ENSMUSG00000041632	11028	11130	9964	1022	923	914
ENSG00000049883__ENSMUSG00000021650	513	309	831	722	753	796
ENSG00000178175__ENSMUSG00000050919	0	0	0	0	1	0
ENSG00000083312__ENSMUSG00000009470	15028	7585	30330	7432	9076	9997
ENSG00000157107__ENSMUSG00000041685	372	193	843	794	1022	1527
ENSG00000157111__ENSMUSG00000052485	75	97	86	6	5	12
ENSG00000164325__ENSMUSG00000046082	0	0	0	1	1	1
ENSG00000251493__ENSMUSG00000078302	0	0	1	4	5	4
ENSG00000164331__ENSMUSG00000021661	382	288	615	335	332	442
ENSG00000164338__ENSMUSG00000041747	1501	954	2912	1407	1548	1750
ENSG00000214944__ENSMUSG00000021662	26	14	27	16	14	33
ENSG00000171617__ENSMUSG00000041773	1109	1114	1549	2086	1851	1921
ENSG00000049860__ENSMUSG00000021665	3093	2711	3816	3990	4157	5496
ENSG00000164347__ENSMUSG00000021666	2352	1425	3086	1337	1242	1573
ENSG00000198780__ENSMUSG00000041817	2223	1199	4780	970	1694	1714
ENSG00000176928__ENSMUSG00000091387	641	294	1522	251	262	242
ENSG00000113161__ENSMUSG00000021670	34069	12714	42713	3048	3721	3406
ENSG00000113163__ENSMUSG00000021669	2057	1132	4382	636	758	883
ENSG00000122008__ENSMUSG00000021668	153	73	526	479	490	660
ENSG00000189045__ENSMUSG00000047117	1	4	4	25	24	14
ENSG00000152359__ENSMUSG00000021671	458	308	886	474	521	596
ENSG00000122012__ENSMUSG00000051111	6	3	5	22	12	14
ENSG00000145703__ENSMUSG00000021676	2030	1065	4253	706	701	921
ENSG00000164220__ENSMUSG00000021675	17	20	61	2	3	2
ENSG00000181104__ENSMUSG00000048376	1223	1180	1781	872	1044	1007
ENSG00000164251__ENSMUSG00000021678	1229	965	1554	1052	1038	1186
ENSG00000171643__ENSMUSG00000021679	8	5	7	1	0	0
ENSG00000145708__ENSMUSG00000021680	5	7	23	0	1	0
ENSG00000164252__ENSMUSG00000021681	1150	573	2213	1236	1218	1247
ENSG00000132846__ENSMUSG00000041995	851	919	1251	283	276	291
ENSG00000238961__ENSMUSG00000088108	1	7	7	0	1	1
ENSG00000113231__ENSMUSG00000021684	147	80	268	84	50	72
ENSG00000164253__ENSMUSG00000042015	2066	1479	2881	467	429	470
ENSG00000171540__ENSMUSG00000021685	1	2	0	0	0	0
ENSG00000171530__ENSMUSG00000042043	9414	10987	10358	1383	1225	1485
ENSG00000132842__ENSMUSG00000021686	3088	2156	5305	4539	4409	5179
ENSG00000085365__ENSMUSG00000021687	1715	923	2924	759	647	814
ENSG00000145685__ENSMUSG00000045312	3071	2308	4070	431	343	257
ENSG00000113273__ENSMUSG00000042082	1339	1252	1327	26	12	24
ENSG00000132837__ENSMUSG00000042102	5	8	9	48	36	19
ENSG00000132840__ENSMUSG00000042118	2	2	3	15	23	8
ENSG00000145692__ENSMUSG00000074768	29	35	78	28	34	16
ENSG00000145692__ENSMUSG00000069324	29	35	78	6	4	0
ENSG00000152409__ENSMUSG00000021690	772	543	2162	312	361	367
ENSG00000152413__ENSMUSG00000007617	2295	1243	4129	322	401	397
ENSG00000164329__ENSMUSG00000042167	728	510	1679	740	754	889
ENSG00000164309__ENSMUSG00000047419	91	53	167	2	0	0
ENSG00000177034__ENSMUSG00000021704	710	357	2161	268	283	432
ENSG00000113296__ENSMUSG00000021702	1058	1271	779	0	0	0
ENSG00000164300__ENSMUSG00000021703	1381	887	1538	300	334	466
ENSG00000164299__ENSMUSG00000046957	0	0	1	0	0	0
ENSG00000152380__ENSMUSG00000034334	13	21	19	24	21	28
ENSG00000189127__ENSMUSG00000045034	52	50	126	4	3	9
ENSG00000228716__ENSMUSG00000021707	3733	3312	4656	1235	1348	1349
ENSG00000113318__ENSMUSG00000014850	1252	654	2234	581	762	741
ENSG00000113319__ENSMUSG00000021708	2289	1776	3348	1	5	0
ENSG00000131730__ENSMUSG00000021622	90	81	91	0	0	4
ENSG00000131732__ENSMUSG00000021621	1580	1267	2374	308	332	372
ENSG00000172497__ENSMUSG00000021620	15	15	23	0	1	0
ENSG00000145687__ENSMUSG00000003992	801	856	880	24	27	47
ENSG00000152348__ENSMUSG00000021619	628	504	815	30	37	42
ENSG00000186468__ENSMUSG00000049517	37519	34206	32545	18675	18726	21058
ENSG00000205464__ENSMUSG00000078958	107	60	107	0	0	0
ENSG00000174695__ENSMUSG00000012422	8769	6337	18791	956	1228	1203
ENSG00000238835__ENSMUSG00000088308	0	0	3	2	5	7
ENSG00000152422__ENSMUSG00000021615	485	375	888	167	207	226
ENSG00000038427__ENSMUSG00000021614	16192	7242	38708	442	683	744
ENSG00000145681__ENSMUSG00000021613	47	34	75	0	0	0
ENSG00000206744__ENSMUSG00000088454	0	0	0	0	0	0
ENSG00000206744__ENSMUSG00000065800	0	0	0	0	0	0
ENSG00000164176__ENSMUSG00000034488	1780	965	2790	4	3	4
ENSG00000127184__ENSMUSG00000017778	27146	27191	22121	3354	3304	3603
ENSG00000145715__ENSMUSG00000021549	1250	685	2754	578	813	908
ENSG00000134480__ENSMUSG00000021548	1253	963	1759	695	752	823
ENSG00000164180__ENSMUSG00000035762	597	400	1380	356	440	590
ENSG00000081189__ENSMUSG00000005583	7	14	21	0	0	0
ENSG00000153140__ENSMUSG00000021537	969	742	1331	1063	1436	1484
ENSG00000176055__ENSMUSG00000051098	291	188	415	67	66	84
ENSG00000176018__ENSMUSG00000035840	641	411	1433	218	346	388
ENSG00000164199__ENSMUSG00000069170	1588	822	2936	131	241	241
ENSG00000199643__ENSMUSG00000084703	0	0	0	1	0	0
ENSG00000113369__ENSMUSG00000074794	535	268	1192	1783	2165	2434
ENSG00000175745__ENSMUSG00000069171	1	0	0	1	2	4
ENSG00000113391__ENSMUSG00000064138	546	366	898	289	295	339
ENSG00000248483__ENSMUSG00000093668	0	0	1	0	0	0
ENSG00000133302__ENSMUSG00000021597	803	443	2020	205	358	355
ENSG00000175471__ENSMUSG00000021596	60	55	183	0	0	1
ENSG00000198677__ENSMUSG00000033991	2351	1166	6210	1021	1201	1556
ENSG00000164291__ENSMUSG00000021592	525	369	1113	131	153	186
ENSG00000175449__ENSMUSG00000043190	68	46	72	114	114	140
ENSG00000145757__ENSMUSG00000021590	0	0	4	2	4	11
ENSG00000164292__ENSMUSG00000021589	383	238	535	116	183	185
ENSG00000173221__ENSMUSG00000021591	813	660	563	243	298	269
ENSG00000118985__ENSMUSG00000001542	1564	958	2433	650	776	1065
ENSG00000175426__ENSMUSG00000021587	72	64	90	83	97	81
ENSG00000153113__ENSMUSG00000021585	1883	1573	2883	1152	1155	1267
ENSG00000164307__ENSMUSG00000021583	867	641	1160	60	56	60
ENSG00000113441__ENSMUSG00000023845	176	106	433	725	982	1282
ENSG00000145721__ENSMUSG00000047786	9	7	9	3	5	5
