gene_name	cisbp_motif_id	var_explained	beta	padj	activ_or_repr
AHR	M03663_1	0.0	0.0	1.0	
AHRR	M03663_1	0.0	0.0	1.0	
AIRE	M06440_1	1.663077038027705e-05	-0.03748746736960501	0.7948495574017456	repressing
ALX1	M08464_1	0.00022087362824640966	-0.18214575249289097	0.12981245680885384	repressing
ALX1	M05586_1	0.0002467398715249036	-0.1811964408077782	0.1066287694580432	repressing
AR	M05563_1	0.0006503198534446586	-0.21613086911994375	0.004402334393507762	repressing
AR	M05564_1	0.0009996425981402268	-0.23968758855538858	0.0002907987577582015	repressing
ARGFX	M09430_1	5.630609834161859e-06	0.027790891341036076	0.9309584906722342	activating
ARGFX	M09429_1	0.00020705200210213714	0.16667047930740048	0.14524216827042302	activating
ARID3A	M00142_1	5.148252368047945e-05	-0.06147220000697905	0.5575404768203956	repressing
ARID3B	M00140_1	4.603541922776344e-06	-0.022362382672340354	0.9479138075707563	repressing
ARID3C	M00142_1	5.148252368047945e-05	-0.06147220000697905	0.5575404768203956	repressing
ARID5A	M00144_1	0.0006566022499966406	-0.27532745114224033	0.004203076781326452	repressing
ARID5A	M00146_1	0.00011160630367113011	-0.11982773633496048	0.3281413900477887	repressing
ARID5B	M00143_1	6.24630785817093e-06	-0.029583475695167186	0.9251862771305007	repressing
ARNT	M00226_1	0.0004239802045962193	0.13334118610206583	0.02712246663456047	activating
ARNT2	M08469_1	0.0010466172665281048	0.20043482032352325	0.00020076897946349012	activating
ARNTL	M08470_1	0.0008910219396207619	0.18289671736267088	0.0006730279781857386	activating
ARNTL	M05565_1	0.0036827766871706524	0.37373103463591834	9.390008152786562e-14	activating
ARNTL2	M00267_1	0.0008156299218375906	0.17463957820399592	0.0011938915583645827	activating
ASCL2	M08476_1	0.0009947433760434388	-0.13833403006742445	0.00030079762598558336	repressing
ASCL4	M08474_1	0.0009256573045636207	-0.1310192043699784	0.0005183410246351055	repressing
ASCL5	M08474_1	0.0009256573045636207	-0.1310192043699784	0.0005183410246351055	repressing
ATF1	M06452_1	0.010118012621930461	0.5539054770905443	7.764716435873484e-37	activating
ATF2	M08481_1	0.017733203659211827	0.7414822346334737	2.9965757177412234e-64	activating
ATF2	M08479_1	0.012348886473631193	0.7150695560953408	7.525949976746038e-45	activating
ATF3	M08483_1	0.01107256288906533	0.661313391893503	2.823747126145889e-40	activating
ATF3	M08485_1	0.012523009224444048	0.720450232729394	1.789858005864081e-45	activating
ATF4	M08489_1	0.006158909620790243	0.5348686876032573	1.25685727474794e-22	activating
ATF5	M06454_1	0.00011996411730730294	0.04443750815258775	0.3052701279655394	activating
ATF5	M03729_1	0.0	0.0	1.0	
ATF6	M09435_1	0.0006053760775003303	0.14696069367024278	0.006325280231571966	activating
ATF6	M09436_1	0.013755493004755204	0.7361415896415562	7.128283627705909e-50	activating
ATF6B	M10064_1	0.000469347720625235	0.12533599549834298	0.01906266067086234	activating
ATF6B	M10064_1	0.000469347720625235	0.12533599549834298	0.01906266067086234	activating
ATF7	M08490_1	0.009977536094762485	0.7180257259696894	2.4343918468526278e-36	activating
ATF7	M05568_1	0.012705295697346797	0.7517532027896648	3.976745824276335e-46	activating
ATOH1	M09442_1	0.0006851529635882869	-0.2954279744276911	0.003392598897921189	repressing
ATOH1	M09441_1	0.0009128852479750593	-0.13958060841623238	0.0005721562037798876	repressing
ATOH7	M08492_1	0.0012203098616384578	-0.2912877110870038	4.954795094789607e-05	repressing
ATOH8	M08943_1	0.0003052486248286135	-0.1876406155800718	0.0679596365558233	repressing
ATOH8	M08945_1	0.0011450270778625704	-0.3489291335789543	9.180548856283643e-05	repressing
BACH1	M06885_1	0.001962401495201327	0.24577060838442316	1.2023021087642902e-07	activating
BACH2	M09445_1	0.001261377215814874	0.2550237323550957	3.503635231533169e-05	activating
BACH2	M09446_1	0.00042267103366611103	0.20048761066520998	0.027290726158672424	activating
BARHL1	M09447_1	1.3320800807181676e-05	-0.04164592456673307	0.8285978447113734	repressing
BARHL1	M09448_1	2.60495171815478e-05	0.05005979844880197	0.7106065205941056	activating
BARX1	M05575_1	2.062081625364698e-05	-0.04943752849616229	0.7568439428481013	repressing
BARX1	M05576_1	0.00017388549792773933	0.12102618805758737	0.18999478146600346	activating
BARX2	M08498_1	8.567304699091949e-05	-0.10011128262367636	0.4044455868184299	repressing
BATF	M08500_1	8.26353828354831e-05	-0.06496092829087588	0.4151213963026864	repressing
BATF3	M08502_1	0.011524512818542831	0.6140119980406261	6.731873179328232e-42	activating
BBX	M08506_1	0.00011487113982056041	-0.12092534568015263	0.31983849763630856	repressing
BCL11A	M03739_1	0.0	0.0	1.0	
BCL11A	M05292_1	0.0027490902291390507	0.1818376293721049	1.9901827625514085e-10	activating
BCL11B	M08508_1	0.0007183472835032845	-0.2079198917081545	0.0026257364813922403	repressing
BCL6	M09454_1	3.2466003438424984e-05	0.046146938450839156	0.6696569501622964	activating
BCL6	M09453_1	2.1080587866428857e-06	0.010007744678363318	0.9941862957751432	activating
BCL6B	M09457_1	3.3212906095370087e-06	0.012564272514904159	0.9745203315726316	activating
BHLHA15	M09462_1	0.0001900878119944771	-0.17786008191760974	0.1666300150108489	repressing
BHLHE22	M05582_1	0.0002602146008279238	-0.23292915777342807	0.09628466692502907	repressing
BHLHE22	M08510_1	0.0002614345366631632	-0.21923094343127708	0.09570649663691407	repressing
BHLHE40	M05580_1	0.0016080842284774688	0.2567750263502807	2.2206196658334576e-06	activating
BHLHE40	M08516_1	0.0025427675130720306	0.34017421840824036	1.0711706261849312e-09	activating
BHLHE41	M05584_1	0.0025212094206962243	0.3223862295235272	1.2739104450126017e-09	activating
BNC1	M03759_1	0.0	0.0	1.0	
BNC2	M03759_1	0.0	0.0	1.0	
BPTF	M06463_1	0.0005528597429999005	0.10533633281091082	0.009729689185718492	activating
BPTF	M04009_1	2.901508248109863e-07	-0.0032039510273461427	1.0	repressing
CARF	M03773_1	0.0	0.0	1.0	
CCDC169-SOHLH2	M00218_1	0.0	0.0	1.0	
CCDC169-SOHLH2	M09149_1	0.00028515089484226763	0.10124853841456372	0.0796175042972356	activating
CDC5L	M06466_1	0.0005972462444918669	-0.27881268213665655	0.0067397802486138855	repressing
CDC5L	M03776_1	0.0003110997358085621	-0.1921986209383615	0.06539350150291495	repressing
