index	gene_id	gene_name
M05805_1	ENSG00000215271	HOMEZ
M05806_1	ENSG00000078399	HOXA9
M05807_1	ENSG00000078399	HOXA9
M05808_1	ENSG00000105991	HOXA1
M05809_1	ENSG00000106031	HOXA13
M05810_1	ENSG00000106031	HOXA13
M05811_1	ENSG00000106031	HOXA13
M05812_1	ENSG00000106031	HOXA13
M05813_1	ENSG00000105996	HOXA2
M05814_1	ENSG00000159184	HOXB13
M05815_1	ENSG00000159184	HOXB13
M05816_1	ENSG00000173917	HOXB2
M05817_1	ENSG00000120093	HOXB3
M05818_1	ENSG00000120075	HOXB5
M05819_1	ENSG00000180818	HOXC10
M05820_1	ENSG00000180818	HOXC10
M05821_1	ENSG00000180818	HOXC10
M05822_1	ENSG00000123388	HOXC11
M05823_1	ENSG00000123388	HOXC11
M05824_1	ENSG00000123388	HOXC11
M05825_1	ENSG00000123388	HOXC11
M05826_1	ENSG00000123407	HOXC12
M05827_1	ENSG00000123407	HOXC12
M05828_1	ENSG00000123364	HOXC13
M05829_1	ENSG00000123364	HOXC13
M05830_1	ENSG00000128713	HOXD11
M05831_1	ENSG00000128713	HOXD11
M05832_1	ENSG00000170178	HOXD12
M05833_1	ENSG00000170178	HOXD12
M05834_1	ENSG00000170178	HOXD12
M05835_1	ENSG00000170178	HOXD12
M05836_1	ENSG00000128714	HOXD13
M05837_1	ENSG00000128714	HOXD13
M05838_1	ENSG00000175879	HOXD8
M05839_1	ENSG00000185122	HSF1
M05840_1	ENSG00000185122	HSF1
M05841_1	ENSG00000025156	HSF2
M05842_1	ENSG00000102878	HSF4
M05843_1	ENSG00000169953	HSFY2
M05844_1	ENSG00000169953	HSFY2
M05845_1	ENSG00000169953	HSFY2
M05847_1	ENSG00000126456	IRF3
M05848_1	ENSG00000137265	IRF4
M05849_1	ENSG00000128604	IRF5
M05850_1	ENSG00000128604	IRF5
M05851_1	ENSG00000185507	IRF7
M05852_1	ENSG00000185507	IRF7
M05853_1	ENSG00000140968	IRF8
M05854_1	ENSG00000140968	IRF8
M05855_1	ENSG00000213928	IRF9
M05856_1	ENSG00000170561	IRX2
M05857_1	ENSG00000176842	IRX5
M05858_1	ENSG00000159556	ISL2
M05859_1	ENSG00000175329	ISX
M05860_1	ENSG00000175329	ISX
M05861_1	ENSG00000175329	ISX
M05862_1	ENSG00000140044	JDP2
M05863_1	ENSG00000140044	JDP2
M05864_1	ENSG00000140044	JDP2
M05865_1	ENSG00000140044	JDP2
M05866_1	ENSG00000169926	KLF13
M05867_1	ENSG00000266265	KLF14
M05868_1	ENSG00000129911	KLF16
M05869_1	ENSG00000179528	LBX2
M05870_1	ENSG00000179528	LBX2
M05871_1	ENSG00000138795	LEF1
M05872_1	ENSG00000106689	LHX2
M05873_1	ENSG00000106689	LHX2
M05874_1	ENSG00000106852	LHX6
M05875_1	ENSG00000106852	LHX6
