index	gene_name	mean_tpm
ENSG00000125618	PAX8	41.22038083755533
ENSG00000184492	FOXD4L1	0.0
ENSG00000163064	EN1	1.6428302347932735
ENSG00000074047	GLI2	2581.5450045722264
ENSG00000115112	TFCP2L1	635.802488579435
ENSG00000169554	ZEB2	9.410821817246697
ENSG00000153234	NR4A2	69.47824233716416
ENSG00000136535	TBR1	0.6227397692491267
ENSG00000204335	SP5	3.011462501414526
ENSG00000144355	DLX1	2.3770857534000234
ENSG00000115844	DLX2	1.9669675882614202
ENSG00000172845	SP3	3821.413699977073
ENSG00000217236	SP9	3.138103293854593
ENSG00000115966	ATF2	1467.9447619540078
ENSG00000174279	EVX2	0.6227397692491267
ENSG00000128714	HOXD13	0.31136988462456333
ENSG00000170178	HOXD12	0.93410965387369
ENSG00000128713	HOXD11	0.34854180107710336
ENSG00000128710	HOXD10	0.31136988462456333
ENSG00000128709	HOXD9	0.31136988462456333
ENSG00000175879	HOXD8	0.0
ENSG00000128652	HOXD3	0.0
ENSG00000170166	HOXD4	0.0
ENSG00000128645	HOXD1	0.34854180107710336
ENSG00000116044	NFE2L2	1973.3867453883665
ENSG00000162992	NEUROD1	0.0
ENSG00000115415	STAT1	3782.7094511774267
ENSG00000138378	STAT4	17.240389763761634
ENSG00000119042	SATB2	136.948155287285
ENSG00000138380	CARF	112.17233233082315
ENSG00000118263	KLF7	2591.6880961511933
ENSG00000118260	CREB1	2772.6246412952664
ENSG00000030419	IKZF2	93.90493027122966
ENSG00000163497	FEV	0.6599116857016667
ENSG00000135903	PAX3	10.030073522178776
ENSG00000221944	TIGD1	309.75480858507603
ENSG00000168505	GBX2	155.5056124692708
ENSG00000144485	HES6	1505.0058729058135
ENSG00000233608	TWIST2	23.5745880571328
ENSG00000134107	BHLHE40	872.4500626781854
ENSG00000132170	PPARG	7.61694634240441
ENSG00000177463	NR2C2	712.0836849462222
ENSG00000182568	SATB1	1654.9353273497334
ENSG00000151789	ZNF385D	188.749363157602
ENSG00000174738	NR1D2	885.2037136801631
ENSG00000151090	THRB	80.6854360933105
ENSG00000077092	RARB	11.304576062681258
ENSG00000163508	EOMES	12.112044924114864
ENSG00000197385	ZNF860	288.590463213116
ENSG00000153560	UBP1	6117.703325521249
ENSG00000177873	ZNF619	80.2253242445293
ENSG00000177842	ZNF620	724.0155467436866
ENSG00000172888	ZNF621	1250.9296214599729
ENSG00000182983	ZNF662	5.739447630130523
ENSG00000185219	ZNF445	2810.40105629239
ENSG00000178917	ZNF852	333.415763830209
ENSG00000196345	ZKSCAN7	512.1895028086307
ENSG00000144792	ZNF660	625.9231865781603
