motif_id	tf_name
M0699_1.02	Etv3
M0700_1.02	Etv3
M0701_1.02	Spdef
M0702_1.02	Spdef
M0703_1.02	Etv3
M0704_1.02	Elf3
M0705_1.02	Etv6
M0706_1.02	Elf4
M0707_1.02	Etv3
M0708_1.02	Elf4
M0709_1.02	Etv3
M0710_1.02	Etv1
M0711_1.02	Etv3
M0713_1.02	Etv3
M0714_1.02	Etv3
M0715_1.02	Foxj2
M0716_1.02	Foxm1
M0717_1.02	Foxp4
M0718_1.02	Foxj2
M0719_1.02	Foxj2
M0720_1.02	Foxm1
M0721_1.02	Foxj2
M0722_1.02	Foxj2
M0723_1.02	Foxj2
M0724_1.02	Foxp4
M0725_1.02	Foxp1
M0726_1.02	Foxj2
M0727_1.02	Foxj2
M0728_1.02	Foxj2
M0729_1.02	Foxj2
M0730_1.02	Foxo4
M0731_1.02	Foxo4
M0732_1.02	Foxj2
M0733_1.02	Foxo4
M0734_1.02	Foxj2
M0735_1.02	Foxo4
M0736_1.02	Foxj2
M0737_1.02	Foxg1
M0738_1.02	Foxj2
M0739_1.02	Foxf2
M0740_1.02	Foxj2
M0742_1.02	Foxg1
M0743_1.02	Foxg1
M0744_1.02	Foxj2
M0746_1.02	Foxg1
M0747_1.02	Foxj2
M0748_1.02	Foxo4
M0749_1.02	Foxj1
M0750_1.02	Foxj3
M0751_1.02	Foxg1
M0752_1.02	Foxg1
M0755_1.02	Foxj2
M0756_1.02	Foxj2
M0757_1.02	Foxj2
M0782_1.02	Gata6
M0783_1.02	Gata6
M0784_1.02	Gata6
M0785_1.02	Gata6
M0809_1.02	Gcm2
M0810_1.02	Gcm2
M0811_1.02	Gcm2
M0812_1.02	Gcm2
M0813_1.02	Gcm2
M0814_1.02	Gcm2
M0815_1.02	Gcm2
M0816_1.02	Gcm2
M0817_1.02	Gcm2
M0820_1.02	Tcfcp2
M0836_1.02	Dux
M0863_1.02	Crx
M0871_1.02	Irx2
M0882_1.02	Isx
M0883_1.02	Alx3
M0884_1.02	Alx3
M0886_1.02	Hoxc13
M0887_1.02	Hoxa4
M0888_1.02	Nobox
M0889_1.02	Lhx2
M0890_1.02	Lhx6
M0891_1.02	Tlx1
M0892_1.02	Emx1
M0894_1.02	Lbx1
M0897_1.02	Hoxc13
M0899_1.02	Pou6f1
M0900_1.02	Phox2a
M0902_1.02	Lhx2
M0903_1.02	Hoxb6
M0904_1.02	Hoxa10
M0905_1.02	Hoxb6
M0906_1.02	Sebox
M0907_1.02	Meox1
M0908_1.02	Nkx2-1
M0909_1.02	Irx2
M0910_1.02	Dlx3
M0911_1.02	Mnx1
M0912_1.02	Hoxc13
M0913_1.02	Hoxa10
M0914_1.02	Hoxb6
M0915_1.02	Hoxb6
M0916_1.02	Evx2
M0917_1.02	Hoxc13
M0918_1.02	Evx2
M0919_1.02	Otx1
M0920_1.02	Rhox6
M0921_1.02	Vax1
M0922_1.02	Pknox1
M0923_1.02	Phox2a
M0924_1.02	Pou6f1
M0925_1.02	Pou6f1
M0926_1.02	Nanog
M0927_1.02	Phox2a
M0928_1.02	Phox2a
M0929_1.02	Hoxa4
M0930_1.02	Nkx2-1
M0931_1.02	Lhx1
M0932_1.02	Lhx2
M0933_1.02	Meis1
M0934_1.02	Hnf1b
M0935_1.02	Dlx3
M0936_1.02	Gsc
M0937_1.02	Six6
M0938_1.02	Six6
M0939_1.02	Barx1
M0940_1.02	Msx2
M0941_1.02	Pitx1
M0942_1.02	Irx2
M0943_1.02	Phox2a
M0944_1.02	Otx1
M0945_1.02	Hmbox1
M0946_1.02	Nkx3-1
M0947_1.02	Nkx3-1
M0948_1.02	Hoxa10
M0949_1.02	Hoxb6
M0950_1.02	Dlx3
M0951_1.02	Esx1
M0952_1.02	Six2
M0953_1.02	Pou4f3
M0954_1.02	Phox2a
M0955_1.02	Cdx1
M0956_1.02	Pitx1
M0957_1.02	Msx2
M0958_1.02	Lhx1
M0959_1.02	Phox2a
M0960_1.02	Lmx1a
M0961_1.02	Barhl1
M0962_1.02	Lhx6
M0963_1.02	Lhx1
M0964_1.02	Hoxb6
M0965_1.02	Meis1
M0966_1.02	Nkx2-1
M0967_1.02	Phox2a
M0968_1.02	Pitx1
M0969_1.02	Lhx6
M0970_1.02	Alx3
M0971_1.02	Phox2a
M0972_1.02	Alx3
M0973_1.02	Hnf1b
M0974_1.02	Hnf1b
M0975_1.02	Lhx1
M0976_1.02	Hoxa4
M0977_1.02	Cdx1
M0978_1.02	Cux1
M0979_1.02	Pax4
M0980_1.02	Nobox
M0981_1.02	Dlx3
M0982_1.02	Hoxa2
M0983_1.02	Dbx1
M0984_1.02	Alx3
M0985_1.02	Irx2
M0986_1.02	Irx2
M0987_1.02	Irx2
M0988_1.02	Irx2
M0989_1.02	Pou2f3
M0990_1.02	Barx1
M0991_1.02	Isl2
M0992_1.02	Alx3
M0993_1.02	Barhl1
M0994_1.02	Six2
M0995_1.02	Gbx2
M0996_1.02	Hdx
M0997_1.02	Vax1
M0998_1.02	Lbx1
M0999_1.02	Nkx6-1
M1000_1.02	Phox2a
M1001_1.02	Pknox1
M1002_1.02	Hoxa4
M1003_1.02	Hoxa10
M1004_1.02	Phox2a
M1005_1.02	Phox2a
M1006_1.02	Hoxc13
M1007_1.02	Hoxa10
M1008_1.02	Hoxa10
M1009_1.02	Hoxb6
M1010_1.02	Hoxb6
M1011_1.02	Hoxb6
M1012_1.02	Hoxb6
M1013_1.02	Hoxb6
M1014_1.02	Hoxb6
M1015_1.02	Lmx1a
M1016_1.02	Six6
M1017_1.02	En2
M1018_1.02	Hlx
M1019_1.02	Phox2a
M1020_1.02	Phox2a
M1021_1.02	Meis1
M1022_1.02	Otx1
M1023_1.02	ENSMUSG00000040953
M1024_1.02	Dlx3
M1025_1.02	Hoxb1
M1026_1.02	Hoxa10
M1027_1.02	Hoxb6
M1028_1.02	Emx1
M1029_1.02	Nkx2-1
M1030_1.02	Nkx2-1
M1031_1.02	Gm4830
M1032_1.02	Prop1
M1033_1.02	Pou3f3
M1034_1.02	Dbx1
M1035_1.02	Tgif1
M1036_1.02	Msx2
M1037_1.02	Duxbl
M1038_1.02	Duxbl
M1039_1.02	Nkx1-1
M1040_1.02	Hoxa4
M1041_1.02	Hoxc13
M1042_1.02	Nkx2-5
M1043_1.02	Hmx3
M1044_1.02	Hoxd12
M1045_1.02	Hoxa10
M1046_1.02	Rhox11
M1047_1.02	Rhox11
M1048_1.02	Rhox11
M1049_1.02	Six2
M1050_1.02	Pbx4
M1051_1.02	Pou3f3
M1052_1.02	Nkx2-1
M1053_1.02	Obox1
M1054_1.02	Bsx
M1055_1.02	Hoxb6
M1056_1.02	Pou3f3
M1057_1.02	Homez
M1058_1.02	En2
M1059_1.02	Nkx2-1
M1060_1.02	Nkx2-1
M1061_1.02	Tgif1
M1062_1.02	Obox1
M1063_1.02	Hmx3
M1064_1.02	Gbx2
M1065_1.02	Noto
M1066_1.02	Tlx1
M1067_1.02	Cphx
M1068_1.02	Obox1
M1069_1.02	Obox1
M1070_1.02	Hoxb6
M1071_1.02	Hoxb6
M1072_1.02	Hoxb6
M1073_1.02	Hoxb6
M1074_1.02	Six6
M1075_1.02	Rhox8
M1078_1.02	Barhl1
M1079_1.02	Barx1
M1082_1.02	Pbx4
M1083_1.02	Alx3
M1084_1.02	Nobox
M1086_1.02	Nkx2-1
M1087_1.02	Nkx2-1
M1088_1.02	Dlx3
M1089_1.02	Barx1
M1090_1.02	Emx1
M1091_1.02	Evx2
M1092_1.02	Lhx1
M1093_1.02	Six2
M1094_1.02	Hoxa4
M1095_1.02	Nkx2-5
M1096_1.02	Alx3
M1099_1.02	Pitx1
M1100_1.02	Six6
M1101_1.02	Vsx2
M1103_1.02	Vsx2
M1106_1.02	Dbx1
M1109_1.02	Evx2
M1110_1.02	Hhex
M1123_1.02	Meis1
M1125_1.02	Nkx1-1
M1126_1.02	Meis1
M1127_1.02	Dobox4
M1152_1.02	Irx2
M1154_1.02	Shox2
M1156_1.02	Hmx3
M1157_1.02	Hoxa10
M1158_1.02	Hoxd12
M1159_1.02	Hoxd12
M1160_1.02	Lhx6
M1163_1.02	Nkx6-1
M1164_1.02	Hoxb6
M1165_1.02	Obox1
M1166_1.02	Hesx1
M1171_1.02	Hoxa1
M1176_1.02	Cdx1
M1177_1.02	Hoxa1
M1179_1.02	Hoxb6
M1180_1.02	Evx2
M1182_1.02	Cdx1
M1194_1.02	Lbx1
M1198_1.02	Hoxa2
M1205_1.02	Hoxb6
M1219_1.02	Hoxb6
M1220_1.02	Lbx1
M1223_1.02	Prrxl1
M1224_1.02	Pax9
M1226_1.02	Pou3f1
M1227_1.02	Pou2f2
M1228_1.02	Pou2f2
M1229_1.02	Pou4f2
M1230_1.02	Pou3f1
M1231_1.02	Pou2f2
M1232_1.02	Pou1f1
M1233_1.02	Pou1f1
M1234_1.02	Pou1f1
M1235_1.02	Pou2f3
M1236_1.02	Pou2f3
M1237_1.02	Pou2f1
M1238_1.02	Pou3f3
M1239_1.02	Pou3f1
M1240_1.02	Pou2f2
M1241_1.02	Pou2f2
M1242_1.02	Pou4f3
M1243_1.02	Pou1f1
M1245_1.02	Pou2f2
M1246_1.02	Pou2f2
M1247_1.02	Pou2f2
M1249_1.02	Hsf2
M1262_1.02	Irf9
M1263_1.02	Irf3
M1264_1.02	Irf4
M1265_1.02	Irf7
M1266_1.02	Irf6
M1267_1.02	Irf5
M1268_1.02	Irf2
M1281_1.02	Naif1
M1295_1.02	Naif1
M1296_1.02	Srf
M1297_1.02	Srf
M1298_1.02	Srf
M1300_1.02	Srf
M1301_1.02	Mecp2
M1355_1.02	Mybl2
M1356_1.02	Myb
M1357_1.02	Myb
M1358_1.02	Terf2
M1359_1.02	Mypop
M1360_1.02	Prdm11
M1417_1.02	Gm239
M1418_1.02	Gm239
M1419_1.02	Gm239
M1422_1.02	Rorc
M1431_1.02	Nr2f6
M1432_1.02	Nr2e1
M1433_1.02	Nr3c1
M1434_1.02	Nr2f6
M1435_1.02	Rarg
M1436_1.02	Rarg
M1437_1.02	Nr2f6
M1438_1.02	Nr2c2
M1439_1.02	Nr2c2
M1440_1.02	Rxrg
M1441_1.02	Rxrg
M1442_1.02	Rarg
M1443_1.02	Hnf4g
M1444_1.02	Esr1
M1445_1.02	Nr2e1
M1446_1.02	Esrrb
M1447_1.02	Esrrb
M1448_1.02	Nr5a2
M1449_1.02	Esrrb
M1450_1.02	Nr4a1
M1451_1.02	Nr2f6
M1452_1.02	Rorc
M1453_1.02	Rorc
M1454_1.02	Rarg
M1455_1.02	Rxrg
M1456_1.02	Nr3c1
M1457_1.02	Nr2f6
M1458_1.02	Rorc
M1459_1.02	Rorc
M1469_1.02	Rorc
M1470_1.02	Nr5a2
M1471_1.02	Nr2e1
M1472_1.02	Nr2e3
M1490_1.02	Nr2e1
M1491_1.02	Nr2c2
M1492_1.02	Esr1
M1493_1.02	Vdr
M1495_1.02	Nr2f6
M1497_1.02	Nr2c2
M1498_1.02	Pax5
M1499_1.02	Pax9
M1501_1.02	Pax5
M1504_1.02	Lcor
M1507_1.02	Lcor
M1508_1.02	Lcor
M1510_1.02	Lcor
M1517_1.02	Nfatc4
M1518_1.02	Nfatc4
M1519_1.02	Nfat5
M1520_1.02	Nfatc4
M1521_1.02	Nfatc4
M1522_1.02	Nfatc4
M1523_1.02	Nfatc4
M1524_1.02	Rfx5
M1525_1.02	Rfx5
M1526_1.02	Rfx5
M1527_1.02	Rfx5
M1528_1.02	Rfx5
M1529_1.02	Arid2
M1530_1.02	Arid2
M1531_1.02	Rfx5
M1532_1.02	Rfx5
M1533_1.02	Rfx5
M1534_1.02	Rfx5
M1535_1.02	Rfx5
M1536_1.02	Arid2
M1537_1.02	Rfx5
M1538_1.02	Rfx5
M1539_1.02	Rfx5
M1543_1.02	Gmeb2
M1545_1.02	Gmeb1
M1546_1.02	Gmeb1
M1547_1.02	Gmeb2
M1548_1.02	Gmeb1
M1549_1.02	Sp100
M1550_1.02	Gmeb1
M1551_1.02	Gmeb2
M1552_1.02	Sp110
M1553_1.02	Gmeb1
M1554_1.02	Gmeb1
M1556_1.02	Sp140
M1557_1.02	Sp140
M1558_1.02	Gmeb1
M1573_1.02	Smad2
M1578_1.02	Sox11
M1579_1.02	Tcf7
M1580_1.02	Hbp1
M1581_1.02	Cic
M1582_1.02	Hmg20b
M1583_1.02	Bbx
M1584_1.02	Sox9
M1585_1.02	Tcf7
M1586_1.02	Sox17
M1587_1.02	Tcf7
M1588_1.02	Sox9
M1589_1.02	Sox30
M1590_1.02	Sox15
