hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000187961__ENSMUSG00000078485	399.234541943125	455.690063134383	238.068315601536	163.467520110702	86.6273324775911	150.107728598507
ENSG00000187642__ENSMUSG00000078486	5.44410739013353	12.4398149418869	9.76954210891834	17.768208707685	5.19763994865547	16.5118501458358
ENSG00000187608__ENSMUSG00000035692	873.476785705868	672.404733964097	385.125633662097	522.385336005939	119.545718819076	97.5700235890295
ENSG00000188157__ENSMUSG00000041936	5409.02314250822	7552.27712392975	5114.09820080536	12745.1361060224	9277.78730835001	9653.42802616998
ENSG00000131591__ENSMUSG00000059939	284.303385929195	340.458093146378	234.46901061404	1515.62820276553	1217.98029463493	1541.60637270667
ENSG00000207730__ENSMUSG00000065549	0	0.654727102204573	0	0	0	0
ENSG00000207607__ENSMUSG00000065400	0	0.654727102204573	1.02837285357035	0	3.46509329910365	0
ENSG00000162571__ENSMUSG00000029074	18.1470246337784	26.1890840881829	11.826287816059	23.0986713199905	6.93018659820729	15.0107728598507
ENSG00000186891__ENSMUSG00000041954	13.9127188858968	22.2607214749555	9.25535568213316	46.197342639981	31.1858396919328	36.0258548636417
ENSG00000186827__ENSMUSG00000029075	0	0.654727102204573	0	15.9913878369165	10.3952798973109	25.5183138617462
ENSG00000078808__ENSMUSG00000029076	3029.94821301987	3589.86870138767	2305.61193770473	3880.5767817584	3683.39417694717	3231.81939672585
ENSG00000176022__ENSMUSG00000050796	693.821241831462	826.265602982171	603.140678619011	266.523130615275	325.718770115743	234.168056613671
ENSG00000184163__ENSMUSG00000023571	21.7764295605341	36.6647177234561	24.1667620589033	218.548967104526	171.52211830563	171.122810602298
ENSG00000160087__ENSMUSG00000023286	2050.61378361696	2442.78681832526	1605.29002442332	2009.58440483917	1869.41783486642	1642.17855086767
ENSG00000131584__ENSMUSG00000029033	599.456713735814	705.141089074325	475.108258349502	421.106546372134	355.172063158124	318.228384628835
ENSG00000169972__ENSMUSG00000051557	733.139795204649	963.103567342927	613.424407154715	531.269440359781	472.985235327648	460.830726797416
ENSG00000127054__ENSMUSG00000029034	4530.10224941222	5160.55901957645	3075.86320502892	1760.82948293158	1552.36179799843	1546.10960456462
ENSG00000224051__ENSMUSG00000029073	373.22380663471	507.413504208544	394.895175771015	270.076772356812	258.149450783222	196.641124464044
ENSG00000169962__ENSMUSG00000029072	3.62940492675569	7.2019981242503	5.65605069463693	0	0	3.00215457197014
ENSG00000107404__ENSMUSG00000029071	2014.31973434941	2131.13671767589	1385.21823375926	920.393211058083	850.680404929945	944.177612884608
ENSG00000162576__ENSMUSG00000029070	355.076782000931	439.321885579269	295.143008974691	49.750984381518	58.906586084762	91.5657144450892
ENSG00000175756__ENSMUSG00000065990	4004.44343585377	4650.52660695908	2803.34439883278	2153.50689537142	1928.32442095118	1805.79597504004
ENSG00000221978__ENSMUSG00000029068	2889.00632169753	3187.86626063407	2979.19615679331	3406.16560926321	3385.39615322426	4554.2684856787
ENSG00000242485__ENSMUSG00000029066	4448.44063856022	4945.15380295114	3231.66169234483	1808.80364644233	1807.04615548255	1359.97602110247
ENSG00000235098__ENSMUSG00000078487	16.9372229915265	14.4039962485006	13.3688470964146	8.8841043538425	10.3952798973109	6.00430914394028
ENSG00000205116__ENSMUSG00000073680	1.2098016422519	1.30945420440915	2.57093213392588	5.3304626123055	0	0
ENSG00000179403__ENSMUSG00000042116	2087.51273370565	2783.24491147164	1874.72371205875	3.553641741537	0	6.00430914394028
ENSG00000197785__ENSMUSG00000029036	2646.44109242602	3021.56557667411	1810.4504087106	3368.85237097708	2976.51514393003	2882.06838909133
ENSG00000205090__ENSMUSG00000084845	25.4058344872898	30.7721738036149	15.4255928035553	1.7768208707685	10.3952798973109	24.0172365757611
ENSG00000160075__ENSMUSG00000029038	4830.13305669069	5757.01540968481	3622.95756312835	4205.73500110904	4192.76289191541	4082.93021787939
ENSG00000228594__ENSMUSG00000074738	370.19930252908	498.24732477768	305.426737510394	0	0	0
ENSG00000197530__ENSMUSG00000029060	516.585301241559	538.840405114364	319.823957460379	1577.81693324243	1301.14253381342	1386.9954122502
ENSG00000189409__ENSMUSG00000029061	0.604900821125948	1.96418130661372	0	318.050935867561	180.18485155339	205.647588179954
ENSG00000248333__ENSMUSG00000029062	1200.72812993501	1279.33675770774	1055.11054776318	4060.03568970602	3499.74423209468	3444.97237133573
ENSG00000189339__ENSMUSG00000042202	1568.50782917958	1714.07555357157	1251.52976279512	836.882630131963	919.982270912018	905.149603448997
ENSG00000008128__ENSMUSG00000029062	47.7871648689499	62.1990747094344	57.5888797999397	4060.03568970602	3499.74423209468	3444.97237133573
ENSG00000008130__ENSMUSG00000029063	1760.86629029763	1834.54534037721	1299.34910048614	3583.84769634006	3383.66360657471	3180.78276900236
ENSG00000078369__ENSMUSG00000029064	17386.059400802	18984.4670555238	13568.865616434	14498.858305471	14302.1725920503	14122.1351065475
ENSG00000178821__ENSMUSG00000023153	246.194634198261	261.890840881829	166.082215851612	7.107283483074	6.93018659820729	12.0086182878806
ENSG00000142609__ENSMUSG00000078490	10.2833139591411	10.4756336352732	10.7979149624887	1.7768208707685	0	0
ENSG00000187730__ENSMUSG00000029054	30.2450410562974	50.4139868697521	41.1349141428141	28.429133932296	12.1278265468628	16.5118501458358
ENSG00000067606__ENSMUSG00000029053	1252.14469973071	1264.27803435703	794.418029383097	2320.52805722366	2049.60268641981	2257.62023812154
ENSG00000157933__ENSMUSG00000029050	3871.97015602719	4858.72982546014	3463.04558439816	3013.48819682338	3102.99104934731	2653.9046416216
ENSG00000116151__ENSMUSG00000029049	83.4763133153808	97.5543382284814	62.7307440677914	216.772146233757	192.312678100252	226.662670183745
ENSG00000157916__ENSMUSG00000029048	2822.46723137367	3316.19277266616	2315.89566624043	3271.12722308481	3014.63117022017	2927.10070767088
ENSG00000157911__ENSMUSG00000029047	1038.61470987325	1174.580421355	699.807726854624	413.999262889061	388.090449499608	471.338267799312
ENSG00000149527__ENSMUSG00000029055	3.62940492675569	9.16617943086402	5.14186426785176	17.768208707685	15.5929198459664	19.5140047178059
ENSG00000157881__ENSMUSG00000029056	1071.88425503518	1157.55751669769	625.250694970774	712.505169178168	665.2979134279	750.538642992534
ENSG00000197921__ENSMUSG00000048001	0.604900821125948	2.61890840881829	1.54255928035553	0	0	0
ENSG00000157873__ENSMUSG00000042333	3.62940492675569	5.89254391984116	7.19860997499246	1.7768208707685	5.19763994865547	4.50323185795521
ENSG00000157870__ENSMUSG00000029059	2321.60935148139	2673.25075830127	1591.40699090012	337.595965446015	339.579143312157	319.72946191482
ENSG00000142606__ENSMUSG00000058183	7.86371067463732	11.7850878396823	6.17023712142211	7.107283483074	15.5929198459664	24.0172365757611
ENSG00000215912__ENSMUSG00000046637	4.23430574788163	1.96418130661372	3.59930498749623	7.107283483074	5.19763994865547	9.00646371591041
ENSG00000169717__ENSMUSG00000051276	0	0	0.514186426785176	0	0	0
ENSG00000142611__ENSMUSG00000039410	44.1577599421942	32.0816280080241	23.1383892053329	906.178644091935	1018.73742993647	1152.82735563653
ENSG00000130762__ENSMUSG00000029032	1262.42801368985	1544.50123410059	988.780498707893	1250.88189302102	762.320525802802	947.179767456578
ENSG00000162591__ENSMUSG00000057751	292.771997424959	276.949564232534	189.73479148373	83.5105809261195	112.615532220868	130.593723880701
ENSG00000158109__ENSMUSG00000029030	1945.36104074105	2291.54485771601	1451.54828281455	1604.46924630396	1706.55844980855	1630.16993257978
ENSG00000116213__ENSMUSG00000029029	921.263950574818	1006.31555608843	681.297015490358	730.273377885854	602.926234044034	573.411523246296
ENSG00000078900__ENSMUSG00000029026	70.1684952506099	96.2448840240722	45.7625919838806	394.454233310607	370.76498300409	438.31456750764
ENSG00000162592__ENSMUSG00000039492	13.3078180647708	14.4039962485006	9.76954210891834	0	1.73254664955182	1.50107728598507
ENSG00000235169__ENSMUSG00000078350	26.6156361295417	28.1532653947966	13.3688470964146	63.965551347666	79.6971458793838	82.5592507291788
ENSG00000130764__ENSMUSG00000029028	4475.05627468976	4882.95472824171	3227.03401450376	1995.36983787303	2020.14939337743	1622.66454614986
ENSG00000116198__ENSMUSG00000039523	1161.40957656182	1289.81239134301	1083.90498766315	1233.11368431334	1172.93408174658	1149.82520106456
ENSG00000169598__ENSMUSG00000029027	494.808871681025	489.081145346816	357.359566615697	456.642963787504	337.846596662605	445.819953937565
ENSG00000198912__ENSMUSG00000047613	947.274685883234	1060.0031784692	882.343908363362	984.358762405749	1046.4581763293	818.087120861863
ENSG00000196581__ENSMUSG00000039546	202.036874256067	225.226123158373	215.444112822989	0	0	1.50107728598507
ENSG00000131697__ENSMUSG00000039577	696.845745937092	696.629636745666	568.690188024404	415.776083759829	422.741382490645	481.845808801207
ENSG00000069424__ENSMUSG00000028931	362.335591854443	382.360627687471	174.82338510696	122.600640083026	187.115038151597	166.619578744343
ENSG00000116254__ENSMUSG00000005045	106.462544518167	134.873783054142	98.7237939427538	337.595965446015	346.509329910365	463.832881369386
ENSG00000116251__ENSMUSG00000028936	17415.094640216	18124.155643227	16632.3883472201	21830.0212182618	22062.2490353929	21909.7240662381
ENSG00000158286__ENSMUSG00000058498	38.1087517309347	45.1761700521155	27.7660670463995	55.0814469938235	62.3716793838656	97.5700235890295
ENSG00000116237__ENSMUSG00000039662	9718.9414930306	10803.6519134777	7312.24517531198	1650.66658894394	1559.29198459664	1223.37798807783
ENSG00000173673__ENSMUSG00000028946	141.546792143472	202.310674581213	141.915453792709	0	0	0
ENSG00000158292__ENSMUSG00000042804	255.873047336276	264.509749290648	139.344521658783	15.9913878369165	27.7207463928292	13.5096955738656
ENSG00000097021__ENSMUSG00000028937	7573.35828049686	8223.37240368944	4535.12428424525	2261.8929684883	2160.48567199112	1933.38754434877
ENSG00000069812__ENSMUSG00000028940	3.62940492675569	9.8209065330686	9.25535568213316	3.553641741537	1.73254664955182	4.50323185795521
ENSG00000187017__ENSMUSG00000028943	378.063013203717	274.330655823716	233.954824187255	103.055610504573	97.0226123749021	162.116346886387
ENSG00000215788__ENSMUSG00000024793	158.484015134998	162.372321346734	125.461488135583	23.0986713199905	29.453293042381	33.0237002916715
ENSG00000171680__ENSMUSG00000039713	664.18110159629	925.129395415062	472.023139788791	2011.36122570994	2037.47485987294	2205.08253311207
ENSG00000162408__ENSMUSG00000028948	1153.54586588718	1289.81239134301	1164.11807024164	4307.01379074284	3903.42760144026	3303.87110645314
ENSG00000173662__ENSMUSG00000028950	4.83920656900758	5.23781681763658	2.57093213392588	138.592027919943	168.057025006527	153.109883170477
ENSG00000204859__ENSMUSG00000028952	770.038745293331	890.428858998219	577.945543706538	591.68134996591	580.403127599861	549.394286670535
ENSG00000162413__ENSMUSG00000073700	2411.13467300803	2561.94715092649	1746.17710536246	1465.87721838401	1585.28018433992	1496.57405412711
ENSG00000116273__ENSMUSG00000047777	1964.71786701708	2645.75222000868	1716.8684790357	1899.42151085153	1950.84752739535	1774.27335203435
ENSG00000041988__ENSMUSG00000039759	489.969665112018	537.530950909955	319.309771033594	593.458170836679	448.729582233922	562.903982244401
ENSG00000007923__ENSMUSG00000039768	3640.29314153595	4437.08557164039	3040.89852800753	5870.61615701912	4963.74615096597	5045.12075819582
ENSG00000171735__ENSMUSG00000014592	1227.34376606455	1274.7536679923	1028.88703999714	502.840306427485	493.775795122269	616.942764539863
ENSG00000049245__ENSMUSG00000028955	1828.01028144261	1676.75610874591	1686.53147985538	1266.87328085794	1231.84066783135	1190.35428778616
ENSG00000049246__ENSMUSG00000028957	490.574565933144	271.057020312693	515.214799638746	78.180118313814	76.2320525802802	117.084028306835
ENSG00000049247__ENSMUSG00000028963	2.41960328450379	1.30945420440915	1.02837285357035	0	0	0
ENSG00000049249__ENSMUSG00000028965	0.604900821125948	0.654727102204573	1.54255928035553	0	6.93018659820729	13.5096955738656
ENSG00000116288__ENSMUSG00000028964	9487.86937936049	10795.140461149	7511.23532247785	5819.08835176684	5455.78939943869	4935.54211631891
ENSG00000116285__ENSMUSG00000028967	2994.25906457344	3556.47761917524	3811.14979533172	422.883367242903	417.543742541989	423.303794647789
ENSG00000162426__ENSMUSG00000039838	99.8086354857814	132.254874645324	88.4400654070502	7.107283483074	1.73254664955182	3.00215457197014
ENSG00000142599__ENSMUSG00000039852	4490.78369603904	5719.69596485915	4138.68654919388	6208.21212246514	5391.68517340527	5872.21434277359
ENSG00000074800__ENSMUSG00000059040	116586.769561352	131316.650707865	78515.7531836696	291.398622806034	263.347090731877	262.688525047387
ENSG00000074800__ENSMUSG00000063524	116586.769561352	131316.650707865	78515.7531836696	36218.7166297451	37450.7283767122	28490.4468879966
ENSG00000131686__ENSMUSG00000028972	0	0.654727102204573	0.514186426785176	8.8841043538425	13.8603731964146	6.00430914394028
ENSG00000197241__ENSMUSG00000062064	1.81470246337784	1.30945420440915	1.54255928035553	17.768208707685	31.1858396919328	18.0129274318208
ENSG00000142583__ENSMUSG00000028976	3.62940492675569	6.54727102204573	4.62767784106658	47.9741635107495	43.3136662387956	48.0344731515222
ENSG00000252404__ENSMUSG00000088529	0	0	0	0	0	0
ENSG00000180758__ENSMUSG00000047875	167.557527451887	129.635966236505	68.3867947624284	19.5450295784535	36.3834796405883	67.5484778693281
ENSG00000049239__ENSMUSG00000028980	658.132093385031	575.50512283782	351.189329494275	2560.39887477741	2307.75213720303	2169.05667824842
ENSG00000171621__ENSMUSG00000039911	70.7733960717359	84.4597961843899	57.5888797999397	142.14566966148	180.18485155339	262.688525047387
ENSG00000171612__ENSMUSG00000028982	1185.60560940686	1397.18763610456	994.43654940253	980.805120664212	952.900657253502	1118.30257805888
ENSG00000188807__ENSMUSG00000044700	1438.4541526375	1975.3116673512	1263.35605061118	3400.83514665091	2945.3293042381	2895.5780846652
ENSG00000171608__ENSMUSG00000039936	1215.85065046315	1335.64328849733	1048.42612421497	804.89985445813	646.23990028283	800.074193430042
ENSG00000171603__ENSMUSG00000039953	4994.06117921582	6253.95328025808	4138.68654919388	11970.4422063674	10972.2179316117	12526.4899515454
ENSG00000178585__ENSMUSG00000028988	1740.90456320048	1785.44080771187	1080.30568267565	422.883367242903	421.008835841093	384.275785212178
ENSG00000162441__ENSMUSG00000028990	690.796737725832	655.381829306778	729.116353181379	1352.16068265483	1230.10812118179	1221.87691079185
ENSG00000173614__ENSMUSG00000028992	171.186932378643	204.274855887827	156.826860169479	261.192668002969	278.940010577843	232.666979327686
ENSG00000162444__ENSMUSG00000028996	45.972462405572	74.6388896513213	38.5639820088882	7.107283483074	8.66273324775911	3.00215457197014
ENSG00000130939__ENSMUSG00000028960	5464.06911723069	5483.3394809633	4918.19317220021	6467.62796959734	6526.50322886172	6215.96104126417
ENSG00000201746__ENSMUSG00000084696	0	0	0.514186426785176	0	0	0
ENSG00000054523__ENSMUSG00000063077	4978.93865868767	3254.64842505893	5325.42882221407	2269.00025197137	2151.82293874336	2533.8184587428
ENSG00000199562__ENSMUSG00000088748	0	0	0	0	0	0
