gene_id	rep1	rep2	rep3
ENSMUSG00000097711	2	3	6
ENSMUSG00000102166	0	0	2
ENSMUSG00000089358	0	0	0
ENSMUSG00000104209	0	0	0
ENSMUSG00000025932	1342	1461	1843
ENSMUSG00000095853	0	0	0
ENSMUSG00000102588	0	0	0
ENSMUSG00000054493	0	11	20
ENSMUSG00000025930	384	419	497
ENSMUSG00000103492	0	3	10
ENSMUSG00000081201	0	0	0
ENSMUSG00000082193	6	10	8
ENSMUSG00000032769	322	306	396
ENSMUSG00000088159	0	0	0
ENSMUSG00000073737	132	124	185
ENSMUSG00000092083	2	1	2
ENSMUSG00000102937	0	0	0
ENSMUSG00000104149	44	35	43
ENSMUSG00000088829	0	0	0
ENSMUSG00000077377	0	0	0
ENSMUSG00000101652	3	0	2
ENSMUSG00000100814	0	0	0
ENSMUSG00000025925	6764	6996	8781
ENSMUSG00000104379	12	4	3
ENSMUSG00000032719	2	3	2
ENSMUSG00000088943	0	0	0
ENSMUSG00000100652	17	14	12
ENSMUSG00000067795	7	3	6
ENSMUSG00000043716	52836	54841	72684
ENSMUSG00000025921	358	364	457
ENSMUSG00000104165	0	0	0
ENSMUSG00000100868	0	0	0
ENSMUSG00000025920	509	544	588
ENSMUSG00000089982	0	0	0
ENSMUSG00000025939	1342	1477	1723
ENSMUSG00000102457	0	1	2
ENSMUSG00000079658	3421	3583	4358
ENSMUSG00000097744	13	11	8
ENSMUSG00000100959	0	0	0
ENSMUSG00000025940	697	706	862
ENSMUSG00000025779	26	11	20
ENSMUSG00000100093	0	1	0
ENSMUSG00000091020	9	14	40
ENSMUSG00000101640	0	0	0
ENSMUSG00000104133	0	0	0
ENSMUSG00000042686	56	79	81
ENSMUSG00000100110	0	0	0
ENSMUSG00000025777	11	8	13
ENSMUSG00000099899	0	0	0
ENSMUSG00000100272	0	0	0
ENSMUSG00000100398	13	15	19
ENSMUSG00000101589	49	54	58
ENSMUSG00000102048	3	1	5
ENSMUSG00000089534	0	0	0
ENSMUSG00000067780	6	5	16
ENSMUSG00000100053	0	0	0
ENSMUSG00000085125	1	3	4
ENSMUSG00000025776	98	99	130
ENSMUSG00000099895	0	0	0
ENSMUSG00000100554	0	0	0
ENSMUSG00000099473	0	0	0
ENSMUSG00000099591	2	1	1
ENSMUSG00000109887	37	55	48
ENSMUSG00000102001	0	0	0
ENSMUSG00000101717	0	0	0
ENSMUSG00000025774	0	0	0
ENSMUSG00000070977	0	0	0
ENSMUSG00000073735	0	0	0
ENSMUSG00000067773	0	0	0
ENSMUSG00000101685	3	2	6
ENSMUSG00000101738	0	0	0
ENSMUSG00000101306	0	0	0
ENSMUSG00000088800	0	0	0
ENSMUSG00000101644	0	0	0
ENSMUSG00000099433	0	0	0
ENSMUSG00000089787	0	4	1
ENSMUSG00000042596	0	0	1
ENSMUSG00000100720	7	6	16
ENSMUSG00000025927	2	0	0
ENSMUSG00000100538	0	0	0
ENSMUSG00000101117	0	0	0
ENSMUSG00000100204	77	93	87
ENSMUSG00000084668	0	0	0
ENSMUSG00000102597	0	0	0
ENSMUSG00000043760	56	34	88
ENSMUSG00000104095	46	57	63
ENSMUSG00000089914	0	0	0
ENSMUSG00000090142	0	0	0
ENSMUSG00000070175	0	0	0
ENSMUSG00000065559	0	0	0
ENSMUSG00000099906	1	0	1
ENSMUSG00000065480	0	0	0
ENSMUSG00000025929	0	0	0
ENSMUSG00000041872	43	24	37
ENSMUSG00000041859	33746	35318	46530
ENSMUSG00000099714	0	0	0
ENSMUSG00000102121	0	0	0
ENSMUSG00000088858	0	0	0
ENSMUSG00000097934	15	15	31
ENSMUSG00000025931	2056	2036	2559
ENSMUSG00000077314	0	0	0
ENSMUSG00000100929	0	0	0
ENSMUSG00000041809	52	73	93
ENSMUSG00000041779	1060	1074	1487
ENSMUSG00000099971	0	0	0
ENSMUSG00000100819	1	1	7
ENSMUSG00000025933	260	294	334
ENSMUSG00000102633	9	16	18
ENSMUSG00000025934	320	339	478
ENSMUSG00000099343	9	14	24
ENSMUSG00000096375	0	0	2
ENSMUSG00000025936	0	0	0
ENSMUSG00000093963	0	0	0
ENSMUSG00000067750	9	8	12
ENSMUSG00000086194	0	0	0
ENSMUSG00000094436	0	0	0
ENSMUSG00000041722	3	2	10
ENSMUSG00000085507	0	0	1
ENSMUSG00000094926	0	0	0
ENSMUSG00000085079	0	0	0
ENSMUSG00000085679	0	0	0
ENSMUSG00000028033	9	11	21
ENSMUSG00000104138	0	2	4
ENSMUSG00000082935	333	346	459
ENSMUSG00000103748	18	18	29
ENSMUSG00000097109	0	0	1
ENSMUSG00000099692	0	1	0
ENSMUSG00000100418	0	0	0
ENSMUSG00000041670	508	571	735
ENSMUSG00000097642	0	0	0
ENSMUSG00000101468	0	0	0
ENSMUSG00000101227	1	0	0
ENSMUSG00000073730	0	0	0
ENSMUSG00000089553	0	0	0
ENSMUSG00000102766	0	0	0
ENSMUSG00000065405	0	0	0
ENSMUSG00000097970	10	9	20
ENSMUSG00000065567	0	0	0
ENSMUSG00000100775	6	6	6
ENSMUSG00000101226	0	0	0
ENSMUSG00000026158	317	364	467
ENSMUSG00000097920	1	0	0
ENSMUSG00000099503	0	0	0
ENSMUSG00000026156	62	57	100
ENSMUSG00000026155	1465	1557	1996
ENSMUSG00000026154	410	423	531
ENSMUSG00000102495	0	0	0
ENSMUSG00000026153	1744	1849	2190
ENSMUSG00000102398	0	0	0
ENSMUSG00000097670	0	0	0
ENSMUSG00000026147	2	4	2
ENSMUSG00000026141	0	0	0
ENSMUSG00000077463	0	0	0
ENSMUSG00000099997	5	1	0
ENSMUSG00000100131	6	2	2
ENSMUSG00000067736	3	0	0
ENSMUSG00000101939	38	29	41
ENSMUSG00000101111	2	8	15
ENSMUSG00000100862	6	1	1
ENSMUSG00000102070	8	5	12
ENSMUSG00000101249	15	15	15
ENSMUSG00000073725	1036	994	1285
ENSMUSG00000100808	0	0	0
ENSMUSG00000100483	0	0	4
ENSMUSG00000100450	0	0	0
ENSMUSG00000099392	0	0	0
ENSMUSG00000033569	40	45	62
