orth_id	hESC_rep1	hESC_rep2	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000197530__ENSMUSG00000029060	1475	991	2489	2715	3429
ENSG00000189409__ENSMUSG00000029061	53	56	80	79	87
ENSG00000248333__ENSMUSG00000029062	1849	1222	7757	8342	10491
ENSG00000189339__ENSMUSG00000042202	6428	5012	1847	1927	2396
ENSG00000008128__ENSMUSG00000029062	133	80	7757	8342	10491
ENSG00000008130__ENSMUSG00000029063	3742	2675	7364	7707	9975
ENSG00000078369__ENSMUSG00000029064	25919	20630	21491	22023	28816
ENSG00000178821__ENSMUSG00000023153	323	276	2	6	4
ENSG00000142609__ENSMUSG00000078490	25	19	208	196	273
ENSG00000187730__ENSMUSG00000029054	62	45	3	6	6
ENSG00000067606__ENSMUSG00000029053	1199	752	1650	1739	2303
ENSG00000157933__ENSMUSG00000029050	7067	5156	5784	6393	8198
ENSG00000116151__ENSMUSG00000029049	208	144	188	166	215
ENSG00000157916__ENSMUSG00000029048	3233	2035	4656	4617	5962
ENSG00000157911__ENSMUSG00000029047	1118	814	617	706	787
ENSG00000149527__ENSMUSG00000029055	63	33	27	17	44
ENSG00000157881__ENSMUSG00000029056	1258	1060	978	1045	1327
ENSG00000197921__ENSMUSG00000048001	92	108	0	0	0
ENSG00000157873__ENSMUSG00000042333	16	15	2	0	4
ENSG00000157870__ENSMUSG00000029059	2393	1660	415	453	604
ENSG00000142606__ENSMUSG00000058183	6	11	70	44	74
ENSG00000215912__ENSMUSG00000046637	48	24	33	35	41
ENSG00000169717__ENSMUSG00000051276	4	2	0	0	0
ENSG00000142611__ENSMUSG00000039410	85	159	993	1031	1523
ENSG00000130762__ENSMUSG00000029032	1609	881	552	578	748
ENSG00000162591__ENSMUSG00000057751	1338	1087	145	156	180
ENSG00000158109__ENSMUSG00000029030	2159	1525	2646	2675	3384
ENSG00000116213__ENSMUSG00000029029	1317	850	982	1055	1431
ENSG00000078900__ENSMUSG00000029026	93	113	919	1053	1358
ENSG00000162592__ENSMUSG00000039492	18	6	2	0	3
ENSG00000235169__ENSMUSG00000078350	54	69	45	38	85
ENSG00000130764__ENSMUSG00000029028	4340	2922	3743	4406	5418
ENSG00000116198__ENSMUSG00000039523	1428	1188	1857	2142	2777
ENSG00000169598__ENSMUSG00000029027	457	306	860	809	970
ENSG00000198912__ENSMUSG00000047613	2147	1588	1246	1326	1715
ENSG00000196581__ENSMUSG00000039546	978	671	2	4	6
ENSG00000131697__ENSMUSG00000039577	1390	857	590	590	787
ENSG00000069424__ENSMUSG00000028931	421	408	230	256	366
ENSG00000116254__ENSMUSG00000005045	92	89	450	541	611
ENSG00000116251__ENSMUSG00000028936	21534	17189	32860	33901	44720
ENSG00000158286__ENSMUSG00000058498	119	108	72	78	94
ENSG00000116237__ENSMUSG00000039662	15550	10313	3243	3422	4448
ENSG00000173673__ENSMUSG00000028946	1499	1057	6	5	10
ENSG00000158292__ENSMUSG00000042804	1366	1636	75	73	117
ENSG00000097021__ENSMUSG00000028937	6679	4653	3337	3700	4672
ENSG00000069812__ENSMUSG00000028940	29	31	14	12	8
ENSG00000187017__ENSMUSG00000028943	296	338	106	124	161
ENSG00000215788__ENSMUSG00000024793	377	316	12	30	38
ENSG00000171680__ENSMUSG00000039713	1372	1342	2833	3134	3961
ENSG00000162408__ENSMUSG00000028948	3089	2056	9830	10213	13737
ENSG00000173662__ENSMUSG00000028950	0	4	151	182	243
ENSG00000204859__ENSMUSG00000028952	876	551	838	910	1158
ENSG00000162413__ENSMUSG00000073700	2309	1319	2338	2769	3305
ENSG00000116273__ENSMUSG00000047777	3429	2867	2125	2252	3026
ENSG00000041988__ENSMUSG00000039759	562	422	521	569	755
ENSG00000007923__ENSMUSG00000039768	3868	2340	8568	9377	12185
ENSG00000171735__ENSMUSG00000014592	2730	2436	851	890	1065
ENSG00000049245__ENSMUSG00000028955	3097	2937	2072	2327	2684
ENSG00000049246__ENSMUSG00000028957	1308	1036	137	146	178
ENSG00000049247__ENSMUSG00000028963	0	3	0	0	0
ENSG00000049249__ENSMUSG00000028965	7	6	7	16	18
ENSG00000116288__ENSMUSG00000028964	10510	7347	10352	10757	13865
ENSG00000116285__ENSMUSG00000028967	3587	2540	527	561	796
ENSG00000162426__ENSMUSG00000039838	59	77	28	22	16
ENSG00000142599__ENSMUSG00000039852	8829	7377	7587	7613	9940
ENSG00000074800__ENSMUSG00000059040	104407	78513	963	1211	1882
ENSG00000074800__ENSMUSG00000063524	104407	78513	64097	68151	92980
ENSG00000131686__ENSMUSG00000028972	2	3	17	14	24
ENSG00000197241__ENSMUSG00000062064	0	4	14	18	16
ENSG00000142583__ENSMUSG00000028976	1	14	90	129	168
ENSG00000180758__ENSMUSG00000047875	201	183	50	46	82
ENSG00000049239__ENSMUSG00000028980	1222	1533	2556	2853	3630
ENSG00000171621__ENSMUSG00000039911	263	285	250	294	305
ENSG00000171612__ENSMUSG00000028982	1707	1231	834	784	1092
ENSG00000188807__ENSMUSG00000044700	2199	1480	3397	3696	4705
ENSG00000171608__ENSMUSG00000039936	1285	920	645	698	894
ENSG00000171603__ENSMUSG00000039953	8598	7517	11456	12172	16041
ENSG00000178585__ENSMUSG00000028988	2983	2593	693	732	906
ENSG00000162441__ENSMUSG00000028990	1202	1071	2017	2054	2570
ENSG00000173614__ENSMUSG00000028992	355	270	412	433	545
ENSG00000162444__ENSMUSG00000028996	33	36	2	11	7
ENSG00000130939__ENSMUSG00000028960	9428	6674	9874	10559	13443
ENSG00000054523__ENSMUSG00000063077	11456	9863	3830	3875	5021
ENSG00000142657__ENSMUSG00000028961	22365	15453	20736	21882	28404
ENSG00000175279__ENSMUSG00000073705	117	66	1047	1150	1577
ENSG00000241563__ENSMUSG00000028971	7	9	3	7	2
ENSG00000160049__ENSMUSG00000028974	5355	4137	1364	1291	1680
ENSG00000142655__ENSMUSG00000028975	1159	1046	1016	1068	1515
ENSG00000175262__ENSMUSG00000070577	7	7	5	0	2
ENSG00000120948__ENSMUSG00000041459	7703	5351	30841	31701	39834
ENSG00000009724__ENSMUSG00000028979	150	96	196	180	273
ENSG00000116649__ENSMUSG00000006442	7890	4874	10914	11067	15400
ENSG00000171824__ENSMUSG00000017264	5053	3678	8573	8670	11637
ENSG00000198793__ENSMUSG00000028991	10472	7448	7019	7439	9710
ENSG00000171819__ENSMUSG00000028989	6	2	0	11	1
ENSG00000120942__ENSMUSG00000047719	2023	1378	930	976	1307
ENSG00000204624__ENSMUSG00000041544	695	540	17	12	12
ENSG00000116661__ENSMUSG00000041556	545	595	108	119	172
ENSG00000116663__ENSMUSG00000055401	64	47	1728	1740	2257
ENSG00000116670__ENSMUSG00000029003	8557	5554	996	1219	1345
ENSG00000162490__ENSMUSG00000029005	6333	4125	39	19	38
ENSG00000177674__ENSMUSG00000029007	1727	1420	6851	7209	9321
ENSG00000177000__ENSMUSG00000029009	1442	1094	4398	4823	6279
ENSG00000011021__ENSMUSG00000029016	2854	2067	3993	4182	5197
ENSG00000175206__ENSMUSG00000041616	10	4	1	2	3
ENSG00000120937__ENSMUSG00000029019	28	34	117	123	133
ENSG00000116685__ENSMUSG00000044496	2514	1745	3627	3917	5291
ENSG00000083444__ENSMUSG00000019055	3806	3273	3720	4094	5220
ENSG00000116688__ENSMUSG00000029020	6930	4835	1848	1940	2622
ENSG00000116691__ENSMUSG00000029022	2370	1718	2711	2942	3927
ENSG00000120949__ENSMUSG00000028602	1872	1185	1328	1556	1924
ENSG00000028137__ENSMUSG00000028599	143	186	373	422	588
ENSG00000048707__ENSMUSG00000020220	2867	2495	5010	4950	6693
ENSG00000162496__ENSMUSG00000066026	750	340	82	132	131
ENSG00000204518__ENSMUSG00000070609	4	0	0	0	0
ENSG00000204518__ENSMUSG00000041735	4	0	0	0	0
ENSG00000204518__ENSMUSG00000028593	4	0	0	0	0
ENSG00000204518__ENSMUSG00000078504	4	0	0	0	0
ENSG00000204518__ENSMUSG00000078505	4	0	0	0	0
ENSG00000188984__ENSMUSG00000078507	30	32	0	0	2
ENSG00000157330__ENSMUSG00000028589	2	3	0	0	0
ENSG00000179172__ENSMUSG00000060373	0	0	34616	34749	45115
ENSG00000275774__ENSMUSG00000060373	1	0	34616	34749	45115
ENSG00000179412__ENSMUSG00000060373	0	0	34616	34749	45115
ENSG00000162494__ENSMUSG00000028584	7	6	0	2	5
ENSG00000162493__ENSMUSG00000028583	6779	4125	1005	1036	1401
ENSG00000116731__ENSMUSG00000057637	3047	2815	4547	4858	6289
ENSG00000189337__ENSMUSG00000040606	1121	955	4800	5046	6677
ENSG00000171729__ENSMUSG00000040616	442	379	1379	1452	2046
